case_label,diag_csv,window,side,touchdown_time_sec,actuator_name,lag_ms,lag_corr,raw_corr,gain,hysteresis_area,stiction_ratio,shape_flag
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,swing,right,1777514595.1277688,right_ankle_right_actuator,9.80997085571289,0.7623057164147851,0.8782053179683061,0.3157777668685653,0.23013871775615719,0.15384615384615385,backlash_like
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,touchdown,right,1777514595.1277688,right_ankle_left_actuator,19.805431365966797,0.5008010277814565,-0.7522442406703106,-0.10313699116634352,0.4347360791004844,0.42857142857142855,"stick_slip_like,backlash_like,low_realization_gain"
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,touchdown,right,1777514595.1277688,right_ankle_right_actuator,0.0,0.3399561894221375,0.9305112553751416,0.14277779308413036,0.26775818376649757,0.42857142857142855,"stick_slip_like,backlash_like,low_realization_gain"
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,swing,left,1777514595.4976962,left_ankle_left_actuator,39.450645446777344,0.74884159487163,0.3090108314589387,0.7846042666098411,0.08063699088206401,0.14285714285714285,mostly_linear
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,swing,left,1777514595.4976962,left_ankle_right_actuator,0.0,0.9412130843138293,0.9704405360495615,0.4747233023453181,0.1530052893235772,0.04,mostly_linear
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,touchdown,left,1777514595.4976962,left_ankle_left_actuator,0.0,0.8711210732919336,0.5703771622131516,0.26633323635927875,0.52753869050684,0.25,backlash_like
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,touchdown,left,1777514595.4976962,left_ankle_right_actuator,0.0,0.9094251333772021,0.4782625975399524,0.22614553103018073,0.4923786946668043,0.18181818181818182,backlash_like
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,swing,right,1777514595.8676746,right_ankle_left_actuator,0.0,0.8669520069557132,0.8692093493931521,0.21066362584778658,0.2078942018164174,0.2,backlash_like
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,swing,right,1777514595.8676746,right_ankle_right_actuator,171.1711883544922,0.3860463266756741,0.8249999656933513,0.2142764282469124,0.33296095379458124,0.1,"overall_slow,backlash_like"
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,touchdown,right,1777514595.8676746,right_ankle_left_actuator,0.0,0.7687184990830171,0.6002630789868753,0.1159603768500103,0.27080566341365647,0.0,"backlash_like,low_realization_gain"
30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv,touchdown,right,1777514595.8676746,right_ankle_right_actuator,0.0,0.687425809499999,-0.2606831532920984,-0.06147987808948374,0.26670404363581146,0.0,"backlash_like,low_realization_gain"
35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv,swing,left,1777514825.8477206,left_ankle_left_actuator,0.0,0.7043836751860441,0.16079298202917017,0.08874774466292919,0.19160514855334837,0.16666666666666666,"backlash_like,low_realization_gain"
