dataset,side,phase_bin,norm_phase,mean_sole_roll_rad,mean_abs_sole_roll_rad,mean_sole_pitch_rad,mean_abs_sole_pitch_rad,mean_rel_height_m
low_kp_right_roll_25_0p5,left,13,0.65,0.20810508352471596,0.20810508352471596,-0.09949907192739117,0.10426990175804902,0.08634193831028095
low_kp_right_roll_25_0p5,left,14,0.7,0.17909011323545398,0.17909011323545398,-0.0641551426350968,0.11271088871140367,0.08046867972561539
low_kp_right_roll_25_0p5,left,15,0.75,0.1463062243034721,0.1463062243034721,-0.023769476733511208,0.11543573772525442,0.07275985590574544
low_kp_right_roll_25_0p5,left,16,0.8,0.10949876815439821,0.10949876815439821,0.021866750561260327,0.10928324064616957,0.06350377034309804
low_kp_right_roll_25_0p5,left,17,0.85,0.06647966288315946,0.06647966288315946,0.06597517927452509,0.09349818453995501,0.05286708231511344
low_kp_right_roll_25_0p5,left,18,0.9,0.022032369520405867,0.022032369520405867,0.10473291817644846,0.10473291817644846,0.04267252216562334
low_kp_right_roll_25_0p5,left,19,0.95,-0.02956486105607406,0.02956486105607406,0.13529791567674399,0.13529791567674399,0.032560456656280636
low_kp_right_roll_25_0p5,left,20,1.0,-0.08719272383881571,0.08719272383881571,0.15724667879263318,0.15724667879263318,0.023163833754044294
low_kp_right_roll_25_0p5,right,0,0.0,-0.1719449832472829,0.1719449832472829,-0.020062143336017416,0.024354856875669396,0.022725008517922834
low_kp_right_roll_25_0p5,right,1,0.05,-0.20151930418214548,0.20151930418214548,-0.021234655258023923,0.024165447331600597,0.028873809842159707
low_kp_right_roll_25_0p5,right,2,0.1,-0.22616904388152653,0.22616904388152653,-0.02521071284540095,0.02521071284540095,0.036052808797254074
low_kp_right_roll_25_0p5,right,3,0.15,-0.24997962867809237,0.24997962867809237,-0.023411709404961754,0.023411709404961754,0.04329707667833437
low_kp_right_roll_25_0p5,right,4,0.2,-0.2698596103232491,0.2698596103232491,-0.020271843077009966,0.020271843077009966,0.050273393090067904
low_kp_right_roll_25_0p5,right,5,0.25,-0.29200139755855137,0.29200139755855137,-0.016574502127035047,0.016574502127035047,0.05768333545379534
low_kp_right_roll_25_0p5,right,6,0.3,-0.3074503900087734,0.3074503900087734,-0.014097596381771488,0.014097596381771488,0.06476686469188415
low_kp_right_roll_25_0p5,right,7,0.35,-0.31578452341927626,0.31578452341927626,-0.009287202036615937,0.018697781148070556,0.0704774495238848
low_kp_right_roll_25_0p5,right,8,0.4,-0.31660190307355834,0.31660190307355834,-0.0014003168752478815,0.029687257515067213,0.07491000124552752
low_kp_right_roll_25_0p5,right,9,0.45,-0.3100157408332395,0.3100157408332395,0.006894710273568264,0.038166730318112546,0.07732632414557539
low_kp_right_roll_25_0p5,right,10,0.5,-0.3002583633715885,0.3002583633715885,0.014990688893419118,0.04420264094147674,0.0782823293526338
low_kp_right_roll_25_0p5,right,11,0.55,-0.28342596416509624,0.28342596416509624,0.022007328556203937,0.04826112035420181,0.07764191869033565
low_kp_right_roll_25_0p5,right,12,0.6,-0.26231778193260913,0.26231778193260913,0.03237134827197918,0.05088484350331102,0.07539006611308721
low_kp_right_roll_25_0p5,right,13,0.65,-0.23812794652364816,0.23812794652364816,0.04117705738401913,0.049172428778032885,0.07185576117909291
low_kp_right_roll_25_0p5,right,14,0.7,-0.20803462160598,0.20803462160598,0.046207975825076505,0.046207975825076505,0.06681765847263242
low_kp_right_roll_25_0p5,right,15,0.75,-0.17277908909491518,0.17277908909491518,0.048550339211505346,0.048550339211505346,0.06036215463089656
low_kp_right_roll_25_0p5,right,16,0.8,-0.13676809484585312,0.13676809484585312,0.04677492145720258,0.04677492145720258,0.053738209585027084
low_kp_right_roll_25_0p5,right,17,0.85,-0.09848198226069813,0.09848198226069813,0.04180170672147937,0.04180170672147937,0.046541595842394985
low_kp_right_roll_25_0p5,right,18,0.9,-0.05609646096508386,0.05609646096508386,0.03330259322110023,0.03330259322110023,0.03878809014651867
low_kp_right_roll_25_0p5,right,19,0.95,-0.015693473599360894,0.023479854854337137,0.023714751271823833,0.023714751271823833,0.03106697176476595
low_kp_right_roll_25_0p5,right,20,1.0,0.03419657785294483,0.03419657785294483,0.010339403614903443,0.021638627567961692,0.02252241137519914
