window,touchdown_time_sec,sample_count,mean_action_abs,mean_action_signed,action_joint_lag_ms,action_joint_corr,case_label,diag_csv
touchdown,1777450371.6623144,15,0.4852764666666667,-0.4852764666666667,0.0,0.5812196088582132,25/0.5 all_ankles actuator,t27_tracking_lag_b1_diag_20260429_161248.csv
swing,1777514425.0488515,33,0.1272937284848485,0.06610442545454545,0.0,0.8445273624847562,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
touchdown,1777514425.0488515,15,0.5487272333333333,-0.4628811,8.975744247436523,0.20978340814732602,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
swing,1777514425.7388427,33,0.09926722393939395,0.09807004212121212,35.902976989746094,0.11727396412997139,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
touchdown,1777514425.7388427,14,0.3346068071428571,-0.2622836642857143,0.0,0.3949624417654029,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
swing,1777514426.4687335,33,0.09622704242424242,-0.01002326666666667,116.6846752166748,0.39686066756553945,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
touchdown,1777514426.4687335,15,0.40380692599999995,-0.4028172606666667,35.902976989746094,0.2960909123457737,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
swing,1777514427.1389344,32,0.04995863974999999,0.038586208374999986,152.5876522064209,0.09834055326672932,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
touchdown,1777514427.1389344,15,0.3056784168,-0.3010860101333333,35.902976989746094,0.3374852478316819,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv
swing,1777514595.1277688,32,0.06990521125,0.03791482374999999,85.25776863098145,0.25890587618014077,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
touchdown,1777514595.1277688,15,0.4789668933333333,-0.3247637466666667,37.89234161376953,0.04763579392373903,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
swing,1777514595.8676746,33,0.14714027151515152,-0.00537308606060603,151.56936645507812,0.26398101982913696,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
touchdown,1777514595.8676746,14,0.49890614285714285,-0.48383642857142856,0.0,0.23243047858031052,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
swing,1777514596.537712,32,0.0626228765625,0.026206692187500005,75.78468322753906,0.3329988496069734,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
touchdown,1777514596.537712,15,0.17849498,-0.15061667333333334,18.946170806884766,0.10545494919116404,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
swing,1777514597.24785,33,0.06188051454545454,0.04350059333333334,85.25776863098145,0.4485511195450117,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
touchdown,1777514597.24785,15,0.26215044666666665,-0.21154232666666667,37.89234161376953,0.013391712748895852,30/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100314.csv
swing,1777514826.1375866,33,0.06382069406060606,0.02981885139393939,83.42528343200684,0.3528215770293587,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
touchdown,1777514826.1375866,16,0.32801891875,-0.22067541874999996,46.34737968444824,0.030245228917975063,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
swing,1777514826.837477,34,0.11263641470588233,0.07178630882352942,101.96423530578613,1.1465822220202915,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
touchdown,1777514826.837477,15,0.24121324866666666,-0.22992259533333334,0.0,0.0,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
swing,1777514827.4676,33,0.240174516969697,-0.012389335151515163,0.0,0.0,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
touchdown,1777514827.4676,15,0.6991958,-0.40636153333333336,0.0,0.0,35/0.5 all_ankles,t27_tracking_lag_b1_diag_20260430_100705.csv
swing,1777515244.758935,33,0.06579100151515152,0.05951801060606061,64.06521797180176,0.2507287692093273,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
touchdown,1777515244.758935,15,0.36379313333333335,-0.27131694666666667,0.0,0.2172335519850086,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
swing,1777515245.4290211,32,0.063826384375,0.02254251,91.5217399597168,0.35003432088167985,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
touchdown,1777515245.4290211,16,0.36065371250000006,-0.36065371250000006,45.7608699798584,0.1425671827952961,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
swing,1777515246.1590714,33,0.05630666696969697,-0.016184985757575755,45.7608699798584,0.43744498305393803,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
touchdown,1777515246.1590714,15,0.5203271333333332,-0.5203271333333332,36.60869598388672,0.2516269706935909,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
swing,1777515246.8988492,32,0.10570859781250001,-0.09393533968750001,18.30434799194336,0.13206977889171445,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
touchdown,1777515246.8988492,16,0.9376968749999999,-0.9376968749999999,45.7608699798584,0.5106005581565769,40/0.8 all_ankles,t27_tracking_lag_b1_diag_20260430_101404.csv
