dataset,case_label,kp_case,ankle_kp,ankle_kd,diag_csv,step_index,touchdown_side,phase,role,side,start_time_sec,end_time_sec,duration_sec,sample_count,start_event_side,end_event_side,joint,target_direction_change_rate_hz,joint_direction_change_rate_hz,target_extrema_rate_hz,joint_extrema_rate_hz,target_dominant_freq_hz,joint_dominant_freq_hz,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,target_path_rate_radps,joint_path_rate_radps,tracking_err_rms_rad
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,3,left,complete_swing,swing_leg,left,1778046114.382012,1778046114.7019968,0.31998491287231445,33,right,left,hip_pitch,21.876031395246603,3.1251473421780864,21.876031395246603,0.0,3.0304459075666292,3.0304459075666292,0.6334820000000001,0.184973,1.251623,0.205764,3.9115062918589625,0.6430428177159317,0.14613065639973763
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,3,left,complete_swing,swing_leg,left,1778046114.382012,1778046114.7019968,0.31998491287231445,33,right,left,hip_roll,12.500589368712346,9.375442026534259,9.375442026534259,6.250294684356173,3.0304459075666292,3.0304459075666292,1.58211,0.10061604,2.551631,0.17840864,7.974222837869212,0.557553287117607,0.5737459117323714
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,3,left,complete_support,support_leg,left,1778046114.7019968,1778046115.0719929,0.3699960708618164,38,left,right,ankle_pitch,10.810925615190904,10.810925615190904,8.108194211393178,8.108194211393178,2.6316068931714702,2.6316068931714702,0.702437,0.14300999999999997,1.386102,0.41357899999999986,3.7462614042668356,1.1177929512512594,0.4049675392285691
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,3,left,complete_support,support_leg,left,1778046114.7019968,1778046115.0719929,0.3699960708618164,38,left,right,ankle_roll,21.621851230381807,10.810925615190904,16.216388422786356,8.108194211393178,2.6316068931714702,2.6316068931714702,0.44030756,0.25109228,0.49115435000000013,0.42303732000000005,1.32745828585686,1.143356249742428,0.14792716742609893
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,3,left,complete_support,support_leg,left,1778046114.7019968,1778046115.0719929,0.3699960708618164,38,left,right,knee_pitch,8.108194211393178,5.405462807595452,8.108194211393178,5.405462807595452,2.6316068931714702,2.6316068931714702,1.0706369999999998,0.5106940000000001,1.5701739999999997,0.5421540000000001,4.24375857922669,1.4652966414945527,0.2500241630836592
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,3,left,complete_support,support_leg,left,1778046114.7019968,1778046115.0719929,0.3699960708618164,38,left,right,hip_pitch,29.730045441774987,2.702731403797726,29.730045441774987,0.0,2.6316068931714702,2.6316068931714702,0.663708,0.26236,1.429265,0.37882299999999997,3.862919399848957,1.0238568185808659,0.19399132298338012
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,3,left,complete_support,support_leg,left,1778046114.7019968,1778046115.0719929,0.3699960708618164,38,left,right,hip_roll,27.027314037977263,2.702731403797726,24.324582634179535,2.702731403797726,2.6316068931714702,2.6316068931714702,0.91442,0.1612156,2.1896759400000003,0.2909314,5.918105927178306,0.7863094311308378,0.4033427946238563
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,4,right,complete_swing,swing_leg,right,1778046114.7019968,1778046115.0719929,0.3699960708618164,38,left,right,ankle_pitch,21.621851230381807,2.702731403797726,21.621851230381807,2.702731403797726,2.6316068931714702,2.6316068931714702,0.692407,0.3309026,1.3522706,0.5432462,3.6548242170523935,1.4682485647337804,0.2929728834809189
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,4,right,complete_swing,swing_leg,right,1778046114.7019968,1778046115.0719929,0.3699960708618164,38,left,right,ankle_roll,27.027314037977263,13.513657018988631,24.324582634179535,5.405462807595452,2.6316068931714702,2.6316068931714702,0.29789730000000003,0.0344055,0.6423822280000001,0.086386792,1.7361866208571513,0.2334802956117422,0.10142411461877364
sim,4005.0,kp40_kd0.5,40.0,0.5,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,4,right,complete_swing,swing_leg,right,1778046114.7019968,1778046115.0719929,0.3699960708618164,38,left,right,knee_pitch,21.621851230381807,13.513657018988631,21.621851230381807,10.810925615190904,2.6316068931714702,2.6316068931714702,0.673441,0.382486,1.1353149999999999,0.42124799999999996,3.068451503702615,1.1385201983869844,0.22837771371481339
