kp_case,dataset,phase,role,joint,case_count,curve_count,mean_duration_sec,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
kp30_kd0.4,real,complete_support,support_leg,hip_pitch,1,6,0.3133411804835002,45.5817245542567,2.529796045625236,45.5817245542567,2.529796045625236,4.896529221314263,3.5076792347771737,1.4488188333333334,0.31910466666666665,15.770219419458178,1.3904376656521753,0.4707211338711941
kp30_kd0.4,real,complete_support,support_leg,hip_roll,1,6,0.3133411804835002,30.905410729243112,10.005010614061332,27.45065117385577,5.464292938885837,3.841003965800923,3.5076792347771737,1.3786245,0.09002671333333334,12.234058728624184,0.3953314484294079,0.5853350176823428
kp30_kd0.4,real,complete_support,support_leg,knee_pitch,1,6,0.3133411804835002,33.18530473906964,2.7754817924596025,32.8451774625148,2.2003917783370515,3.5076792347771737,3.5076792347771737,0.7535728333333335,0.45435356666666665,5.376913145514578,1.9188441925025004,0.24103404354271038
kp30_kd0.4,real,complete_swing,swing_leg,ankle_pitch,1,5,0.31400747299194337,27.049738658455055,5.787915435197631,25.045521056708928,3.569637792397323,4.651328767352649,3.584234673741991,0.35958806,0.48763914,3.5810876920509203,2.432121818995036,0.21322842743975215
kp30_kd0.4,real,complete_swing,swing_leg,ankle_roll,1,5,0.31400747299194337,33.099374047646364,8.427213420983747,30.94899164887312,6.899043795130501,4.583750241204339,3.98422435097049,0.48531636,0.2890012,4.288909935515248,1.9650751099332076,0.15429740217493096
kp30_kd0.4,real,complete_swing,swing_leg,hip_pitch,1,5,0.31400747299194337,42.7717175216851,5.09780741825057,42.7717175216851,2.7533323286656914,4.0492117664745715,3.584234673741991,0.96570434,0.28321579999999996,10.63679421565627,1.1386779568955274,0.36136586250730074
kp30_kd0.4,real,complete_swing,swing_leg,hip_roll,1,5,0.31400747299194337,35.34224587910168,6.549193266022192,32.407688470744354,3.442735838397754,3.584234673741991,3.584234673741991,1.378384,0.061398640000000004,10.560345786227119,0.29103804520165766,0.4197282121028638
kp30_kd0.4,real,complete_swing,swing_leg,knee_pitch,1,5,0.31400747299194337,36.167439876887876,2.458509432464452,36.167439876887876,2.458509432464452,3.584234673741991,3.584234673741991,0.8696904,0.8647176,6.936980009614463,4.047110290293494,0.4564678361520619
kp35_kd0.5,real,complete_support,support_leg,ankle_pitch,1,6,0.2983071804046631,8.227667302292568,4.512733516446397,7.265951115449639,2.9325744817315993,3.626293374714946,3.092249008143242,0.42028,0.14044738333333334,2.943829282531136,0.6293097136430746,0.382033492805228
kp35_kd0.5,real,complete_support,support_leg,ankle_roll,1,6,0.2983071804046631,27.512886850387556,6.552911792002817,27.512886850387556,4.862723743072974,3.609539933098189,3.1961675981126434,0.6267259816666667,0.1838909833333333,5.016303159738725,1.3800219812928756,0.24185566744307177
kp35_kd0.5,real,complete_support,support_leg,hip_pitch,1,6,0.2983071804046631,38.833798235020474,2.0964805738442123,38.833798235020474,0.4275228082278211,3.609539933098189,3.609539933098189,1.7222774666666665,0.42654935,14.589012087576362,1.6073852537381665,0.6059578339499818
kp35_kd0.5,real,complete_support,support_leg,hip_roll,1,6,0.2983071804046631,20.322053007308064,7.379585803741892,18.335601447678897,2.890113915104695,3.609539933098189,3.609539933098189,1.3963778333333332,0.16848489666666666,10.25170956448354,0.746701601290238,0.6739665618728757
kp35_kd0.5,real,complete_support,support_leg,knee_pitch,1,6,0.2983071804046631,31.304904090766243,2.226412772040699,30.898611565851876,0.9650746306706877,3.609539933098189,3.609539933098189,0.7280721333333333,0.3548341666666666,5.267964428258028,1.535885580504992,0.2649382636499929
kp35_kd0.5,real,complete_swing,swing_leg,ankle_pitch,1,5,0.2979543685913086,23.286120786190036,4.1131988850570735,21.77251501654602,2.133191616599311,3.686439796187886,2.8525593651898573,0.45103780000000004,0.37221566,2.6764280333827797,1.7816774831962512,0.24152976688403333
kp35_kd0.5,real,complete_swing,swing_leg,ankle_roll,1,5,0.2979543685913086,26.5790245796463,6.093206153514837,25.933962392714864,5.448143966583396,3.686439796187886,2.8525593651898573,0.53908518,0.30055983999999997,3.6197656985704385,2.1700948790508545,0.19256272418963274
kp35_kd0.5,real,complete_swing,swing_leg,hip_pitch,1,5,0.2979543685913086,33.82190477668547,3.8507217701393777,33.33435374678823,3.3376944002659927,4.186641481814437,3.686439796187886,1.52132372,0.3964632,12.543804053113124,1.7005907163200085,0.5550849466777603
kp35_kd0.5,real,complete_swing,swing_leg,hip_roll,1,5,0.2979543685913086,29.80391022590794,9.656187112958154,26.598250642700002,4.6517025949066015,3.686439796187886,3.686439796187886,1.0912844,0.06320089999999999,7.106408821505982,0.3486920597945053,0.36160652015360717
kp35_kd0.5,real,complete_swing,swing_leg,knee_pitch,1,5,0.2979543685913086,19.14290610806639,3.648389905441737,18.272770006155405,3.0033277185102976,3.686439796187886,3.686439796187886,0.94624762,0.7509334,6.296932777605218,4.006050375657323,0.5784289647689146
