dataset,case_label,diag_csv,step_index,touchdown_side,window,role,joint,phase_bin,norm_phase,pos_target_rad,joint_pos_rad
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,14,0.7,-1.0832400000000004,-0.3849778
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,15,0.75,-0.791734,-0.407566
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,16,0.8,-0.8556406000000001,-0.4395498
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,17,0.85,-1.109362,-0.4694624
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,18,0.9,-1.319242,-0.4935464
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,19,0.95,-1.1682460000000003,-0.5146776
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,hip_pitch,20,1.0,-0.890083,-0.535272
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,0,0.0,0.297674,0.524725
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,1,0.05,0.3213768,0.5250322000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,2,0.1,0.3458138,0.524917
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,3,0.15,0.3706706,0.5247634
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,4,0.2,0.4110032,0.5243804
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,5,0.25,0.453687,0.523383
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,6,0.3,0.5205636,0.5211974
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,7,0.35,0.5633552,0.5192026
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,8,0.4,0.6662048,0.518589
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,9,0.45,0.9878406000000002,0.5205067999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,10,0.5,1.27307,0.527793
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,11,0.55,1.394558,0.5463932
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,12,0.6,1.1237348000000003,0.5811
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,13,0.65,0.9492612,0.6507440000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,14,0.7,1.013168,0.7369549999999999
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,15,0.75,0.947072,0.834978
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,swing,opposite_leg,knee_pitch,16,0.8,0.8893237999999999,0.9412458000000001
