dataset,kp_case,window,role,step_index,joint,case_count,curve_count,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
sim,kp25_kd0.4,touchdown,landing_leg,1,ankle_roll,1,1,26.666692098006024,6.666673024501506,6.250005960470162,6.250005960470162,26.666692098006024,0.0,0.086868,0.0572489,0.7579807228667473,0.586906559717712,0.38375346284371703
sim,kp25_kd0.4,touchdown,landing_leg,1,hip_pitch,1,1,13.333346049003012,6.666673024501506,6.250005960470162,6.250005960470162,13.333346049003012,0.0,0.300094,0.012722000000000011,2.7602359656994815,0.14882014192594736,0.13468393425999256
sim,kp25_kd0.4,touchdown,landing_leg,1,hip_roll,1,1,33.33336512250753,0.0,6.250005960470162,6.250005960470162,33.33336512250753,0.0,0.20024799999999998,0.0879074,3.7651769240858615,0.5860498922340637,0.49959668671700597
sim,kp25_kd0.4,touchdown,landing_leg,1,knee_pitch,1,1,40.000038147009036,6.666673024501506,6.250005960470162,6.250005960470162,40.000038147009036,0.0,0.05180299999999999,0.02734000000000003,0.7655207300574587,0.23618022523901513,0.19026679033645755
sim,kp25_kd0.4,touchdown,landing_leg,2,ankle_pitch,1,1,0.0,0.0,18.750017881410486,6.250005960470162,0.0,0.0,0.0045540000000000025,0.07402799999999998,0.030360028953579875,0.49352047065779736,0.2105677830184677
sim,kp25_kd0.4,touchdown,landing_leg,2,ankle_roll,1,1,26.666692098006024,13.333346049003012,6.250005960470162,12.500011920940324,20.000019073504518,6.666673024501506,0.052613999999999994,0.02333313,0.6115472498835728,0.2176233408751242,0.4252480404205893
sim,kp25_kd0.4,touchdown,landing_leg,2,hip_pitch,1,1,46.66671117151054,0.0,6.250005960470162,6.250005960470162,46.66671117151054,0.0,0.194758,0.066417,1.6590615822044192,0.44278042226831654,0.09067524876792454
sim,kp25_kd0.4,touchdown,landing_leg,2,hip_roll,1,1,26.666692098006024,0.0,6.250005960470162,6.250005960470162,26.666692098006024,0.0,0.19136799999999998,0.08548059999999999,2.5846891316183074,0.5698712101382034,0.6069666908638444
sim,kp25_kd0.4,touchdown,landing_leg,2,knee_pitch,1,1,20.000019073504518,6.666673024501506,6.250005960470162,6.250005960470162,20.000019073504518,0.0,0.12441399999999997,0.026830999999999994,1.0362009881982694,0.29148027797725473,0.16816927415999627
sim,kp25_kd0.4,touchdown,landing_leg,3,ankle_pitch,1,1,42.85718372893825,14.285727909646084,6.666673024501506,6.666673024501506,42.85718372893825,14.285727909646084,0.13838599999999995,0.081283,3.0291243173694897,1.1805796973171072,0.13604435249138425
sim,kp25_kd0.4,touchdown,landing_leg,3,ankle_roll,1,1,35.71431977411521,21.428591864469126,6.666673024501506,6.666673024501506,35.71431977411521,14.285727909646084,0.35246500000000003,0.0657818,5.282367894801449,0.6073901506809584,0.10997228265240354
sim,kp25_kd0.4,touchdown,landing_leg,3,hip_pitch,1,1,21.428591864469126,14.285727909646084,13.333346049003012,13.333346049003012,21.428591864469126,7.142863954823042,0.5269957,0.06746900000000006,8.562953880554902,0.5512648114413787,0.25909640295512787
sim,kp25_kd0.4,touchdown,landing_leg,3,hip_roll,1,1,35.71431977411521,14.285727909646084,13.333346049003012,6.666673024501506,35.71431977411521,14.285727909646084,1.696374,0.057920099999999995,22.41736423600737,0.6137834424923618,0.8404014374511338
sim,kp25_kd0.4,touchdown,landing_leg,3,knee_pitch,1,1,42.85718372893825,14.285727909646084,13.333346049003012,13.333346049003012,42.85718372893825,7.142863954823042,0.07291800000000004,0.06588899999999998,1.6699801640457639,0.8920151364062116,0.25533650440650535
sim,kp25_kd0.4,touchdown,landing_leg,4,ankle_pitch,1,1,7.142863954823042,0.0,6.666673024501506,6.666673024501506,7.142863954823042,0.0,0.38111300000000004,0.10487800000000003,2.9859385618986316,0.7491292858539312,0.2888114540054578
sim,kp25_kd0.4,touchdown,landing_leg,4,ankle_roll,1,1,35.71431977411521,7.142863954823042,6.666673024501506,6.666673024501506,35.71431977411521,0.0,0.07859700000000003,0.0544394,0.9770723603802441,0.4634282991025234,0.44048737496607876
sim,kp25_kd0.4,touchdown,landing_leg,4,hip_pitch,1,1,42.85718372893825,0.0,6.666673024501506,6.666673024501506,42.85718372893825,0.0,0.1713765,0.13232699999999997,2.7405311850027756,0.9451937585498685,0.20633842862786533
