dataset,phase,role,step_index,joint,case_count,curve_count,mean_duration_sec,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
real,complete_swing,swing_leg,4,ankle_roll,4,4,0.3850253224372864,35.82100884971841,9.89003417867037,35.82100884971841,8.600479887879086,2.5398104005698756,3.873147328190837,0.68924845,0.310119875,4.091527253728557,2.160325105972754,0.14846249745259696
real,complete_swing,swing_leg,4,hip_pitch,4,4,0.3850253224372864,34.357436403207004,5.841610884775251,34.357436403207004,3.2353863413139514,3.7462838735187898,2.5398104005698756,1.263394125,0.168501,14.233966968100585,0.733093900011487,0.3454737457995446
real,complete_swing,swing_leg,4,hip_roll,4,4,0.3850253224372864,29.492385744837865,9.147466297542993,25.696041261644364,3.8696846875478634,2.5398104005698756,2.5398104005698756,1.29781575,0.059203025,8.416352355307177,0.274958166033031,0.39188428066271147
real,complete_swing,swing_leg,4,knee_pitch,4,4,0.3850253224372864,27.42000338137738,3.201284513327399,27.42000338137738,3.201284513327399,2.5398104005698756,2.5398104005698756,1.200386,0.8465305,7.129941016088668,3.8478621596697686,0.5339393545449366
real,complete_swing,swing_leg,5,ankle_pitch,4,4,0.3725600242614746,31.48163100708053,6.290465763353519,29.02079145448348,6.290465763353519,4.137880260954018,2.745253509756101,0.40021005,0.5022220000000001,2.2861737932294126,2.211540931323274,0.20887652480543967
real,complete_swing,swing_leg,5,ankle_roll,4,4,0.3725600242614746,33.17500860731408,7.216166145966268,32.66481769248181,7.216166145966268,2.745253509756101,4.002939024796725,0.4421475,0.36966525,2.377584044910577,2.499037399493858,0.20076546005364104
real,complete_swing,swing_leg,5,hip_pitch,4,4,0.3725600242614746,39.62620467718957,3.3368974937321223,39.01676588981802,2.3165156640675835,2.745253509756101,2.745253509756101,1.307151175,0.40325125,10.945192114803897,1.2687514599029086,0.3719710228236075
real,complete_swing,swing_leg,5,hip_roll,4,4,0.3725600242614746,31.779700921203894,8.99484006660325,28.442803427471773,4.484141014118205,3.6378931644183945,2.745253509756101,1.099239,0.0828362325,8.095588581729675,0.33375751675819154,0.38763169054822794
real,complete_swing,swing_leg,5,knee_pitch,4,4,0.3725600242614746,32.131542374538704,3.946336281103676,32.131542374538704,3.946336281103676,2.745253509756101,2.745253509756101,1.006517975,0.8119185,5.963790936751844,4.02909735280145,0.44131988393421123
real,complete_swing,swing_leg,6,ankle_pitch,4,4,0.3074398636817932,29.990208112160946,7.5493595250250225,28.799216287213262,6.3290119928815525,4.159030281517435,2.5070684065068454,0.415663325,0.423796025,3.3081785371836165,1.9217728503384715,0.22791658950809776
real,complete_swing,swing_leg,6,ankle_roll,4,4,0.3074398636817932,29.03430553600939,8.254706940879903,27.81395800386592,8.254706940879903,3.549418945254381,3.7262910790329533,0.5753530499999999,0.3206103,3.9445507130185984,3.1375951651363256,0.18137551467956936
real,complete_swing,swing_leg,6,hip_pitch,4,4,0.3074398636817932,42.403751816690686,6.137623173735235,42.403751816690686,4.321779729117924,3.549418945254381,3.549418945254381,1.598135,0.38383649999999997,13.349388160105864,1.7234342970311292,0.6003950413216251
real,complete_swing,swing_leg,6,hip_roll,4,4,0.3074398636817932,34.78088122806128,9.908517273546686,31.223160329189817,2.440695064286942,3.549418945254381,3.549418945254381,1.48756725,0.0572857475,8.578830356882518,0.29629627214083104,0.39428693084366173
real,complete_swing,swing_leg,6,knee_pitch,4,4,0.3074398636817932,26.703916901862264,2.3080176595322044,25.61624677447353,2.3080176595322044,3.549418945254381,3.549418945254381,0.977162,0.8802294999999999,5.987062069416555,4.540397516147501,0.5574044272707289
sim,complete_support,support_leg,1,ankle_pitch,4,4,0.4925069212913513,15.199299021414978,8.777733801610443,12.069315125391388,8.063453731475063,3.723270577015865,3.973315486505409,0.673862875,0.17707225000000001,3.545005526450571,0.9037555579059369,0.2358742898591532
sim,complete_support,support_leg,1,ankle_roll,4,4,0.4925069212913513,23.57364612269327,13.567202698029538,21.500669456737008,9.158490715863548,2.353165144375315,2.353165144375315,0.488226525,0.233639875,1.7111117936443758,0.9631888318559496,0.15821328800106876
sim,complete_support,support_leg,1,hip_pitch,4,4,0.4925069212913513,34.63484818478854,4.046139740873271,34.63484818478854,1.5504674053065741,2.353165144375315,2.353165144375315,0.56670175,0.25364175,3.5965263681396262,0.7743522325888135,0.19289778695544868
sim,complete_support,support_leg,1,hip_roll,4,4,0.4925069212913513,24.348585733228852,5.70674903758667,19.708948890938117,4.177251009958761,2.353165144375315,2.353165144375315,0.9989017499999999,0.126231665,5.383741586237799,0.5364222657326152,0.33117893113967845
sim,complete_support,support_leg,1,knee_pitch,4,4,0.4925069212913513,15.067651640247004,4.932345539133575,14.332402192432959,2.6675980636916203,2.353165144375315,2.353165144375315,1.138168025,0.45180575,4.55044882138075,1.3038708913024144,0.26601813144525316
sim,complete_support,support_leg,2,ankle_pitch,4,4,0.2849923372268677,14.053491015250975,11.179293483543626,10.772113706857215,11.179293483543626,3.4575156869582204,3.4575156869582204,0.75514675,0.1323665,4.737709035941103,0.7962334745189272,0.36477952135428277
sim,complete_support,support_leg,2,ankle_roll,4,4,0.2849923372268677,18.400116755370966,12.846000154737343,17.566793885832773,6.865740461251931,3.4575156869582204,3.4575156869582204,0.353094675,0.0767751275,2.1294101327876405,0.4643806541883816,0.18348153415412494
sim,complete_support,support_leg,2,hip_pitch,4,4,0.2849923372268677,30.767998715380173,3.584363152858172,30.767998715380173,2.4479935067382383,3.4575156869582204,3.4575156869582204,0.928317575,0.22654474999999996,5.194643472120939,1.261144277480982,0.3318679263230067
sim,complete_support,support_leg,2,hip_roll,4,4,0.2849923372268677,19.588522435484577,8.783396942916387,16.004159282626407,4.66869676498443,3.4575156869582204,3.4575156869582204,0.882125,0.0910311775,5.411394529221443,0.43646064315632205,0.4078079700820465
sim,complete_support,support_leg,2,knee_pitch,4,4,0.2849923372268677,8.627166976700714,3.584363152858172,8.627166976700714,0.0,3.4575156869582204,3.4575156869582204,1.04226525,0.36547525000000003,4.94637718024672,1.3397796367937735,0.30133481571488996
