dataset,window,role,step_index,joint,case_count,curve_count,mean_target_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_target_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_target_extrema_rate_hz,mean_joint_extrema_rate_hz,mean_target_range_rad,mean_joint_range_rad,mean_target_path_rate_radps,mean_joint_path_rate_radps,mean_tracking_err_rms_rad
real,touchdown,stance_leg,2,hip_pitch,4,4,54.40760264727086,0.0,18.23051533682313,6.56284404366267,54.40760264727086,0.0,0.840302,0.20402250000000005,16.00315172787396,1.4363610635902933,0.31500266891135636
real,touchdown,stance_leg,2,hip_roll,4,4,37.02578212089414,10.238317888739449,8.229671260970347,6.56284404366267,35.239895816635915,6.785827200495101,0.3760835,0.04501341675,8.606461607043272,0.35765520833137354,0.1513735487471206
real,touchdown,stance_leg,2,knee_pitch,4,4,29.644311781663767,3.333336512250753,8.229671260970347,6.56284404366267,29.644311781663767,1.6666682561253765,0.7593165000000001,0.30080799999999996,10.363395186891783,2.1257245769582305,0.3088457067876084
real,touchdown,stance_leg,3,ankle_pitch,4,4,28.573095086434215,8.929282487314804,6.667010809670506,6.667010809670506,26.787379097728454,7.143481344893647,0.4911425,0.171695275,7.551489751199057,1.3708623863432623,0.3130856963976857
real,touchdown,stance_leg,3,ankle_roll,4,4,35.71598030354424,8.92921861517555,11.667333492831009,6.667010809670506,35.71598030354424,8.92921861517555,0.44320421750000005,0.21391857500000003,7.544953943024959,1.7674150578241945,0.15791893227610285
real,touchdown,stance_leg,3,hip_pitch,4,4,50.00279396747689,7.143396183056578,6.667010809670506,6.667010809670506,50.00279396747689,5.357595040635422,0.957580375,0.06246275000000001,17.67841903496438,0.5869184076390602,0.3262295945541047
real,touchdown,stance_leg,3,hip_roll,4,4,35.71640608836457,7.143161995364859,6.667010809670506,6.667010809670506,30.358981363281615,3.571538420824732,0.4390805,0.028522985,7.5920583465830696,0.30133796945718605,0.17489322215352449
real,touchdown,stance_leg,3,knee_pitch,4,4,23.21567035018378,5.3574460066590985,6.667010809670506,6.667010809670506,23.21567035018378,3.5716448642379426,0.964371,0.2157675,9.66092723479407,1.619344257713413,0.4742896541661941
real,touchdown,stance_leg,4,ankle_pitch,4,4,46.28430532885834,7.161536099201347,10.015422724705598,6.68188751808352,46.28430532885834,5.375713667082375,0.173163,0.22092485,2.982449073944978,1.7376930774376806,0.21453833988498283
real,touchdown,stance_leg,4,ankle_roll,4,4,42.69473342413457,7.161536099201347,15.015526840267393,6.68188751808352,42.69473342413457,7.161536099201347,0.164348125,0.28005035,3.1898112810371746,2.515485685849818,0.12768325754408588
real,touchdown,stance_leg,4,hip_pitch,4,4,42.96921659520808,3.571538420824732,13.587025009547911,6.68188751808352,42.96921659520808,1.7857159887057605,0.7879897499999999,0.11418724999999999,16.898653430489755,0.9355486204252232,0.30915395547473407
real,touchdown,stance_leg,4,hip_roll,4,4,42.98756940934675,8.947358531320317,15.134659726563171,6.68188751808352,42.98756940934675,7.161642542614557,0.49560825000000003,0.07809019499999999,9.622591777725376,0.6105496100578711,0.1789291070533099
real,touchdown,stance_leg,4,knee_pitch,4,4,35.67022602364356,0.0,6.68188751808352,6.68188751808352,35.67022602364356,0.0,0.6840805000000001,0.60075475,9.671564255473037,4.311954282401627,0.45244220296320015
