dataset,case_label,step_index,window,side,axis,hist_type,bin_label,count,bar,mean_joint_amplitude_rad,mean_amplitude_gain,mean_tracking_err_rms_rad
real,25/0.4 all_ankles,2,swing,right,roll,amplitude,"[0.010,0.020)",1,######,0.013252400000000001,0.8305069875289842,0.046044432023933865
real,25/0.4 all_ankles,2,swing,right,roll,amplitude,"[0.020,0.040)",3,##################,0.04042426666666667,1.6356486592116217,0.019778508590882125
real,25/0.4 all_ankles,2,swing,right,roll,amplitude,"[0.040,0.080)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,swing,right,roll,amplitude,"[0.080,1.000)",4,########################,0.05865677500000001,0.3860216574758754,0.1245096140144025
real,25/0.4 all_ankles,2,touchdown,left,pitch,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,pitch,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,pitch,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,pitch,frequency,"[5.00,8.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,pitch,frequency,"[8.00,12.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,pitch,frequency,"[12.00,20.00)",1,############,0.014842000000000022,0.4322325120857361,0.16435148647411132
real,25/0.4 all_ankles,2,touchdown,left,pitch,frequency,"[20.00,1000.00)",2,########################,0.017518000000000006,0.2970604038696009,0.12429890454496248
real,25/0.4 all_ankles,2,touchdown,left,pitch,amplitude,"[0.000,0.005)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,pitch,amplitude,"[0.005,0.010)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,pitch,amplitude,"[0.010,0.020)",1,########################,0.004042000000000018,0.21617285271152098,0.1545652242819624
real,25/0.4 all_ankles,2,touchdown,left,pitch,amplitude,"[0.020,0.040)",1,########################,0.014842000000000022,0.4322325120857361,0.16435148647411132
real,25/0.4 all_ankles,2,touchdown,left,pitch,amplitude,"[0.040,0.080)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,pitch,amplitude,"[0.080,1.000)",1,########################,0.030993999999999994,0.37794795502768086,0.09403258480796255
real,25/0.4 all_ankles,2,touchdown,left,roll,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,roll,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,roll,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,roll,frequency,"[5.00,8.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,roll,frequency,"[8.00,12.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,roll,frequency,"[12.00,20.00)",2,########################,0.02265875000000001,1.4940925301011236,0.09200511833713285
real,25/0.4 all_ankles,2,touchdown,left,roll,frequency,"[20.00,1000.00)",1,############,0.04185219,2.512997551982102,0.030593155145784923
real,25/0.4 all_ankles,2,touchdown,left,roll,amplitude,"[0.000,0.005)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,roll,amplitude,"[0.005,0.010)",1,########################,0.002914900000000012,nan,0.10278736210657843
real,25/0.4 all_ankles,2,touchdown,left,roll,amplitude,"[0.010,0.020)",1,########################,0.04185219,2.512997551982102,0.030593155145784923
real,25/0.4 all_ankles,2,touchdown,left,roll,amplitude,"[0.020,0.040)",1,########################,0.042402600000000006,1.4940925301011236,0.08122287456768724
real,25/0.4 all_ankles,2,touchdown,left,roll,amplitude,"[0.040,0.080)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,left,roll,amplitude,"[0.080,1.000)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,pitch,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,pitch,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,pitch,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,pitch,frequency,"[5.00,8.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,pitch,frequency,"[8.00,12.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,pitch,frequency,"[12.00,20.00)",1,############,5.6199999999999306e-05,0.0006648212553528673,0.13362488067683168
real,25/0.4 all_ankles,2,touchdown,right,pitch,frequency,"[20.00,1000.00)",2,########################,0.011164849999999997,0.2504592070716501,0.2378958757104433
real,25/0.4 all_ankles,2,touchdown,right,pitch,amplitude,"[0.000,0.005)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,pitch,amplitude,"[0.005,0.010)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,pitch,amplitude,"[0.010,0.020)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,pitch,amplitude,"[0.020,0.040)",1,############,0.018247299999999994,0.4606159283099833,0.19451355879884916
real,25/0.4 all_ankles,2,touchdown,right,pitch,amplitude,"[0.040,0.080)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,pitch,amplitude,"[0.080,1.000)",2,########################,0.0020692999999999996,0.020483653544334873,0.20745153664943455
real,25/0.4 all_ankles,2,touchdown,right,roll,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,roll,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,roll,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,roll,frequency,"[5.00,8.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,roll,frequency,"[8.00,12.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,roll,frequency,"[12.00,20.00)",1,#####,0.0024924999999999947,0.09045545273090165,0.2917220123660666
real,25/0.4 all_ankles,2,touchdown,right,roll,frequency,"[20.00,1000.00)",5,########################,0.008594460000000007,0.14675497921786404,0.28073834383431195
real,25/0.4 all_ankles,2,touchdown,right,roll,amplitude,"[0.000,0.005)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,roll,amplitude,"[0.005,0.010)",1,############,0.0006114000000000119,nan,0.2992451354308816
real,25/0.4 all_ankles,2,touchdown,right,roll,amplitude,"[0.010,0.020)",1,############,0.0036680000000000046,0.2587106785160116,0.33374600132968885
real,25/0.4 all_ankles,2,touchdown,right,roll,amplitude,"[0.020,0.040)",2,########################,0.002569450000000001,0.10353388658401083,0.30666396573105437
real,25/0.4 all_ankles,2,touchdown,right,roll,amplitude,"[0.040,0.080)",0,,nan,nan,nan
real,25/0.4 all_ankles,2,touchdown,right,roll,amplitude,"[0.080,1.000)",2,########################,0.018023250000000005,0.1058484589591623,0.22454733165747356
real,25/0.4 all_ankles,3,swing,left,pitch,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,3,swing,left,pitch,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,3,swing,left,pitch,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,3,swing,left,pitch,frequency,"[5.00,8.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,3,swing,left,pitch,frequency,"[8.00,12.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,3,swing,left,pitch,frequency,"[12.00,20.00)",2,########################,0.11784074000000001,2.5117359541113338,0.09857889095542002
real,25/0.4 all_ankles,3,swing,left,pitch,frequency,"[20.00,1000.00)",2,########################,0.042512499999999995,0.1473419617071349,0.032668420349755006
real,25/0.4 all_ankles,3,swing,left,pitch,amplitude,"[0.000,0.005)",1,########################,0.08226999999999998,nan,0.05092847972402082
real,25/0.4 all_ankles,3,swing,left,pitch,amplitude,"[0.005,0.010)",0,,nan,nan,nan
real,25/0.4 all_ankles,3,swing,left,pitch,amplitude,"[0.010,0.020)",1,########################,0.0027550000000000074,0.1473419617071349,0.014408360975489198
real,25/0.4 all_ankles,3,swing,left,pitch,amplitude,"[0.020,0.040)",1,########################,0.02842800000000001,0.8278874716058006,0.03388303191495708
real,25/0.4 all_ankles,3,swing,left,pitch,amplitude,"[0.040,0.080)",1,########################,0.20725348000000002,4.195584436616867,0.16327474999588296
real,25/0.4 all_ankles,3,swing,left,pitch,amplitude,"[0.080,1.000)",0,,nan,nan,nan
real,25/0.4 all_ankles,3,swing,left,roll,frequency,"[0.00,1.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,3,swing,left,roll,frequency,"[1.00,2.50)",0,,nan,nan,nan
real,25/0.4 all_ankles,3,swing,left,roll,frequency,"[2.50,5.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,3,swing,left,roll,frequency,"[5.00,8.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,3,swing,left,roll,frequency,"[8.00,12.00)",0,,nan,nan,nan
real,25/0.4 all_ankles,3,swing,left,roll,frequency,"[12.00,20.00)",2,########################,0.0302926,0.35298942888643714,0.08561743379276808
