dataset,case_label,diag_csv,step_index,touchdown_side,touchdown_time_sec,first_contact_time_sec,fc_to_stable_ms,touchdown_source,base_euler_x_rad,base_euler_y_rad,base_euler_z_rad,touchdown_leg_hip_pitch_rad,touchdown_leg_hip_roll_rad,touchdown_leg_hip_yaw_rad,touchdown_leg_knee_pitch_rad,touchdown_leg_ankle_pitch_rad,touchdown_leg_ankle_roll_rad,support_leg_hip_pitch_rad,support_leg_hip_roll_rad,support_leg_hip_yaw_rad,support_leg_knee_pitch_rad,support_leg_ankle_pitch_rad,support_leg_ankle_roll_rad,touchdown_leg_sole_roll_rad,touchdown_leg_sole_pitch_rad,support_leg_sole_roll_rad,support_leg_sole_pitch_rad,fc_touchdown_leg_sole_roll_rad,fc_touchdown_leg_sole_pitch_rad,fc_touchdown_leg_ankle_roll_rad
sim,3505,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,2,right,1778045425.6128368,1778045425.6128368,0.0,kinematic_fk_hip,0.0660079,0.0268587,0.0726581,-0.413533,-0.0128192,0.301945,0.519585,-0.257531,-0.0336888,0.618272,0.0281,-0.35114,0.88125,-0.332683,-0.0245346,0.0013909758204220246,0.0025018182820858875,-0.0694516974804904,0.01947488827597224,0.0013909758204220246,0.0025018182820858875,-0.0336888
sim,3505,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,3,left,1778045425.9128406,1778045425.9128406,0.0,kinematic_fk_hip,-0.00290803,0.0340423,0.06879,0.410008,0.0305737,-0.325605,0.511003,-0.250933,0.0763528,-0.516604,-0.0776027,0.326935,0.903815,-0.35315,-0.00327602,-0.19871669565163153,-0.0018954354357423042,-0.2021736877388305,0.013774988765350344,-0.19871669565163153,-0.0018954354357423042,0.0763528
sim,3505,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,4,right,1778045426.272838,1778045426.272838,0.0,kinematic_fk_hip,0.0400858,0.0499242,0.0676501,-0.448128,-0.0226216,0.30689,0.534294,-0.266456,-0.0185265,0.5679,-0.00136539,-0.36636,1.01752,-0.318953,-0.000249768,-0.0011166961485653548,-0.0014929844977594332,0.154161827975263,-0.013016792194385715,-0.0011166961485653548,-0.0014929844977594332,-0.0185265
sim,3505,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,5,left,1778045426.5928369,1778045426.5928369,0.0,kinematic_fk_hip,-0.010568,0.0220107,0.0927676,0.435018,0.015333,-0.307023,0.542503,-0.25636,0.0281465,-0.480668,-0.0380829,0.3199,0.927067,-0.361505,0.00282526,-0.19805062428761433,0.04407727541843339,-0.24285647289722623,-0.02056614256345629,-0.19805062428761433,0.04407727541843339,0.0281465
sim,3505,t27_tracking_lag_b1_diag_20260506_133024_3505.csv,6,right,1778045426.972846,1778045426.972846,0.0,kinematic_fk_hip,0.0380949,0.0209617,0.101774,-0.469813,-0.0240524,0.319447,0.536584,-0.225393,-0.0128114,0.551453,-0.0151747,-0.350755,1.03613,-0.324917,-0.00644345,-0.00025683617736071973,6.842286979760921e-05,0.15250826308834187,-0.010660073540067275,-0.00025683617736071973,6.842286979760921e-05,-0.0128114
sim,4005,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,1,left,1778046114.0419912,1778046114.0419912,0.0,kinematic_fk_hip,-0.0360396,0.0143978,0.079596,0.387386,-0.00975132,-0.32326,0.490734,-0.239209,0.174853,-0.581905,-0.0856334,0.340429,0.882551,-0.327753,-0.00189481,-0.22200290153379676,-0.10757941682313629,-0.13535216217477863,-0.012793218836491635,-0.22200290153379676,-0.10757941682313629,0.174853
sim,4005,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,2,right,1778046114.382012,1778046114.382012,0.0,kinematic_fk_hip,0.0419495,0.047517,0.0910512,-0.447434,-0.0302189,0.308738,0.517272,-0.245481,-0.025444,0.582001,0.00154696,-0.371017,0.987934,-0.330752,-0.0030628,-0.0003529455424986505,0.0016347102787514544,0.07712543278149098,-0.015200028719785527,-0.0003529455424986505,0.0016347102787514544,-0.025444
sim,4005,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,3,left,1778046114.7019968,1778046114.7019968,0.0,kinematic_fk_hip,-0.0119023,0.0179982,0.100708,0.417819,0.0285586,-0.308104,0.541106,-0.259633,0.0823631,-0.496636,-0.0574173,0.322722,0.909605,-0.352469,0.00229797,-0.22078169384121993,-0.0008841868277284365,-0.2126113652459365,-0.004257216100119478,-0.22078169384121993,-0.0008841868277284365,0.0823631
sim,4005,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,4,right,1778046115.0719929,1778046115.0719929,0.0,kinematic_fk_hip,0.0374187,0.0277921,0.112617,-0.453287,-0.031816,0.313944,0.530069,-0.23391,-0.0221805,0.563716,-0.0029412,-0.352596,1.02034,-0.323818,-0.00504094,-0.0004217847343521708,0.0004230886334922377,0.1100198143190485,-0.005407588179250342,-0.0004217847343521708,0.0004230886334922377,-0.0221805
sim,4005,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,5,left,1778046115.4221342,1778046115.4221342,0.0,kinematic_fk_hip,-0.0299127,-0.00533109,0.109378,0.410244,0.0230397,-0.32421,0.528274,-0.231242,0.129999,-0.535286,-0.0740722,0.333735,0.906448,-0.341442,0.00342234,-0.2219302551810014,-0.04049461633614168,-0.16371668292876906,-0.009234319775767233,-0.2219302551810014,-0.04049461633614168,0.129999
sim,4005,t27_tracking_lag_b1_diag_20260506_134153_4005.csv,6,right,1778046115.7920072,1778046115.7920072,0.0,kinematic_fk_hip,0.0402715,0.00912275,0.138001,-0.454629,-0.0354089,0.325946,0.523068,-0.207564,-0.0227583,0.574692,0.00262601,-0.353887,0.985625,-0.341447,-0.012056,0.0010886069270279464,0.0023636838878122175,0.028953860711305346,0.004625678859177293,0.0010886069270279464,0.0023636838878122175,-0.0227583
sim,5008,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,1,left,1778046258.257408,1778046258.257408,0.0,kinematic_fk_hip,-0.049088,-0.0165199,-0.00178253,0.392033,-0.018826,-0.364107,0.462706,-0.181262,0.226112,-0.590185,-0.0876173,0.345805,0.853574,-0.298351,0.00191603,-0.19709328951141591,-0.17101641850057464,-0.09696870095955301,-0.019219260794706778,-0.19709328951141591,-0.17101641850057464,0.226112
sim,5008,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,2,right,1778046258.6174128,1778046258.6174128,0.0,kinematic_fk_hip,0.067679,0.0455127,0.0392185,-0.402247,-0.015885,0.29366,0.503343,-0.2655,-0.040623,0.611962,0.0447311,-0.361514,0.897105,-0.340521,-0.0153936,0.0012646592958021063,0.0055577793866937305,-0.03873164117194983,0.008695194268264955,0.0012646592958021063,0.0055577793866937305,-0.040623
sim,5008,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,3,left,1778046258.9173946,1778046258.9173946,0.0,kinematic_fk_hip,-0.00537929,0.0297131,0.0350868,0.392557,0.0264582,-0.306973,0.527873,-0.276418,0.20308,-0.529407,-0.0813146,0.326033,0.907083,-0.344903,-0.000659595,-0.19488214983513452,-0.13300579898393544,-0.1979362216969045,0.020609102984114953,-0.19488214983513452,-0.13300579898393544,0.20308
sim,5008,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,4,right,1778046259.2674158,1778046259.2674158,0.0,kinematic_fk_hip,0.0468701,0.0441884,0.0439665,-0.442657,-0.0285041,0.304306,0.531933,-0.26065,-0.0298504,0.568869,-0.00822868,-0.360728,1.00892,-0.318811,-0.00676359,0.00022100109753053765,0.0032905379279779758,0.14383227540903265,-0.025865447064378363,0.00022100109753053765,0.0032905379279779758,-0.0298504
sim,5008,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,5,left,1778046259.6173985,1778046259.6173985,0.0,kinematic_fk_hip,-0.0208482,0.01481,0.0663076,0.407292,0.0143851,-0.30306,0.534877,-0.261342,0.212457,-0.527953,-0.0745857,0.317729,0.927109,-0.350844,-0.00283342,-0.1947405866080565,-0.13776005223667376,-0.19971645737867538,0.0006156444053085353,-0.1947405866080565,-0.13776005223667376,0.212457
sim,5008,t27_tracking_lag_b1_diag_20260506_134417_5008.csv,6,right,1778046259.977389,1778046259.977389,0.0,kinematic_fk_hip,0.0443617,0.0198456,0.0780268,-0.461028,-0.0266272,0.329295,0.505317,-0.198155,-0.0174282,0.571967,-0.0115007,-0.353717,1.01074,-0.333134,-0.012948,0.0008143712168617867,0.0041719105234882415,0.10483332823515967,-0.01611158402355782,0.0008143712168617867,0.0041719105234882415,-0.0174282
