dataset,case_label,kp_case,ankle_kp,ankle_kd,diag_csv,step_index,touchdown_side,window,role,side,joint,sample_count,duration_sec,target_direction_change_rate_hz,joint_direction_change_rate_hz,target_dominant_freq_hz,joint_dominant_freq_hz,target_extrema_rate_hz,joint_extrema_rate_hz,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,target_path_rate_radps,joint_path_rate_radps,tracking_err_rms_rad
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,swing,event_leg,right,knee_pitch,34,0.32985758781433105,21.2121414415957,3.030305920227957,2.9411792755153705,2.9411792755153705,21.2121414415957,3.030305920227957,1.1029419999999999,1.108514,2.0750990000000002,1.7363089999999999,6.288184784759115,5.261547442045084,0.6914959736411426
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,swing,event_leg,right,hip_pitch,34,0.32985758781433105,30.303059202279574,3.030305920227957,5.882358551030741,2.9411792755153705,30.303059202279574,0.0,1.0480778,0.17756000000000005,3.2059458000000007,0.27477700000000005,9.714996537669958,0.8326583698424775,0.25638217534148233
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,swing,event_leg,right,hip_roll,34,0.32985758781433105,27.272753282051614,12.121223680911829,2.9411792755153705,2.9411792755153705,24.242447361823658,3.030305920227957,0.7763770000000001,0.021667900000000004,2.0525814,0.04928050000000002,6.219949568169788,0.14933499090179392,0.22384073598577917
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,swing,opposite_leg,left,ankle_pitch,34,0.32985758781433105,6.060611840455914,12.121223680911829,2.9411792755153705,5.882358551030741,6.060611840455914,6.060611840455914,0.278653,0.1096279,0.35536599999999996,0.14548949999999997,1.0768676936477282,0.4408776931810053,0.3595193796571001
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,swing,opposite_leg,left,ankle_roll,34,0.32985758781433105,27.272753282051614,15.151529601139787,2.9411792755153705,2.9411792755153705,27.272753282051614,12.121223680911829,0.867869,0.2678018,1.5203887200000001,0.40961041999999986,4.607242939263807,1.2412448807130596,0.19467563006259217
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,swing,opposite_leg,left,knee_pitch,34,0.32985758781433105,30.303059202279574,9.090917760683872,2.9411792755153705,2.9411792755153705,30.303059202279574,3.030305920227957,1.142456,0.22013,1.8134470000000005,0.339207,5.49529918011963,1.0279009802827646,0.3495621683999017
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,swing,opposite_leg,left,hip_pitch,34,0.32985758781433105,48.484894723647315,3.030305920227957,2.9411792755153705,2.9411792755153705,48.484894723647315,3.030305920227957,1.4340603,0.506413,4.371864199999999,0.611492,13.24808596769266,1.853007827772034,0.5845475796761412
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,swing,opposite_leg,left,hip_roll,34,0.32985758781433105,39.39397696296344,6.060611840455914,2.9411792755153705,2.9411792755153705,33.33336512250753,3.030305920227957,1.5279,0.1762189,3.8506850000000004,0.3372895999999999,11.668753552432992,1.0220906717113194,0.6244817444643174
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,touchdown,landing_leg,right,ankle_pitch,15,0.14015865325927734,42.85718372893825,0.0,13.333346049003012,nan,42.85718372893825,0.0,0.4749598,0.0,1.5723038,0.0,11.230752139051297,0.0,0.2607649213471006
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,touchdown,landing_leg,right,ankle_roll,15,0.14015865325927734,35.71431977411521,0.0,20.000019073504518,nan,35.71431977411521,0.0,0.3267559,0.0,1.02644196,0.0,7.331735277801916,0.0,0.15119441236495415
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,touchdown,landing_leg,right,knee_pitch,15,0.14015865325927734,57.14291163858434,0.0,6.666673024501506,6.666673024501506,57.14291163858434,0.0,0.40927800000000003,0.42626200000000003,0.9402000000000001,0.42626200000000003,6.715720690324625,3.0447314751107797,0.4429970491812182
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,touchdown,landing_leg,right,hip_pitch,15,0.14015865325927734,64.28577559340738,0.0,6.666673024501506,6.666673024501506,64.28577559340738,0.0,1.488117,0.2928029999999999,4.2150887,0.2928029999999999,30.107805141611916,2.091451994564051,0.4118203688314231
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,touchdown,landing_leg,right,hip_roll,15,0.14015865325927734,28.57145581929217,21.428591864469126,13.333346049003012,6.666673024501506,28.57145581929217,14.285727909646084,0.935719,0.014573099999999999,2.43063,0.029721700000000004,17.36165941451153,0.21229805960606404,0.4882636995701065
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,touchdown,stance_leg,left,ankle_pitch,15,0.14015865325927734,57.14291163858434,7.142863954823042,6.666673024501506,6.666673024501506,57.14291163858434,7.142863954823042,0.20164700000000002,0.22113829999999998,0.508461,0.22900979999999999,3.631867749333279,1.6357858457212338,0.22529114323049387
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,touchdown,stance_leg,left,ankle_roll,15,0.14015865325927734,28.57145581929217,7.142863954823042,20.000019073504518,6.666673024501506,28.57145581929217,7.142863954823042,0.29339550000000003,0.1074224,0.8063098,0.12436027000000001,5.759361206840576,0.8882884899950614,0.07354624573638367
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,touchdown,stance_leg,left,knee_pitch,15,0.14015865325927734,42.85718372893825,0.0,6.666673024501506,6.666673024501506,42.85718372893825,0.0,0.516534,0.7025720000000001,1.1942450000000004,0.7025720000000001,8.530329563727648,5.018376214467935,0.5094882325267189
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,touchdown,stance_leg,left,hip_pitch,15,0.14015865325927734,42.85718372893825,7.142863954823042,6.666673024501506,6.666673024501506,42.85718372893825,7.142863954823042,0.945055,0.099518,2.3286759999999993,0.126363,16.633415862861497,0.9025937179233041,0.3102379096391456
real,35/0.5 all_ankles,kp35_kd0.5,35.0,0.5,t27_tracking_lag_b1_diag_20260430_100705.csv,4,right,touchdown,stance_leg,left,hip_roll,15,0.14015865325927734,42.85718372893825,7.142863954823042,13.333346049003012,6.666673024501506,42.85718372893825,0.0,0.5890880000000001,0.12214548,1.8392990000000007,0.12291247999999998,13.13786252924207,0.877947122989908,0.24993750046339722
