dataset,case_label,ankle_kp,ankle_kd,diag_csv,step_index,stance_side,window,side,role,axis,stance_start_sec,stance_end_sec,duration_sec,sample_count,lag_ms,corr,target_range_rad,joint_range_rad,target_path_rad,joint_path_rad,joint_dominant_freq_hz,joint_direction_change_rate_hz,joint_extrema_rate_hz,tracking_err_rms_rad
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,3,left,stance,left,stance_leg,roll,1777515245.0689,1777515245.439,0.3702,38,189.95,0.568,0.574715,0.389649,1.29558,0.690213,2.6323,8.1103,8.1103,0.353639
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,3,left,stance,right,swing_leg,pitch,1777515245.0689,1777515245.439,0.3702,38,59.98,0.0389,0.76,0.191568,1.917817,0.350134,2.6323,18.9241,18.9241,0.133133
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,3,left,stance,right,swing_leg,roll,1777515245.0689,1777515245.439,0.3702,38,99.97,0.2422,0.477948,0.474725,0.876605,1.490178,5.2646,10.8138,10.8138,0.137518
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,4,right,stance,right,stance_leg,pitch,1777515245.439,1777515245.759,0.3199,33,99.97,0.5614,0.517166,0.321367,1.917044,0.843529,6.0623,9.3776,9.3776,0.284354
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,4,right,stance,right,stance_leg,roll,1777515245.439,1777515245.759,0.3199,33,49.99,0.2065,0.632808,0.561462,2.008211,1.141971,3.0311,12.5034,12.5034,0.251397
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,4,right,stance,left,swing_leg,pitch,1777515245.439,1777515245.759,0.3199,33,139.96,0.3043,0.207056,0.404957,0.428697,0.583378,3.0311,12.5034,12.5034,0.115765
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,4,right,stance,left,swing_leg,roll,1777515245.439,1777515245.759,0.3199,33,129.96,0.244,0.32423,0.279471,0.590186,0.827027,6.0623,12.5034,12.5034,0.072717
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,5,left,stance,left,stance_leg,pitch,1777515245.759,1777515246.1591,0.4001,41,29.99,0.2252,0.393845,0.19753,0.60708,0.375695,2.4397,10.0028,10.0028,0.273373
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,5,left,stance,left,stance_leg,roll,1777515245.759,1777515246.1591,0.4001,41,10.0,0.3531,0.932775,0.233784,2.120991,0.502751,2.4397,20.0055,20.0055,0.242174
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,5,left,stance,right,swing_leg,pitch,1777515245.759,1777515246.1591,0.4001,41,199.94,0.1325,0.352508,0.405831,1.587071,0.772032,2.4397,17.5048,17.5048,0.156045
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,5,left,stance,right,swing_leg,roll,1777515245.759,1777515246.1591,0.4001,41,69.98,0.1247,0.452218,0.924572,0.812896,4.149403,7.3191,10.0028,10.0028,0.296243
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,6,right,stance,right,stance_leg,pitch,1777515246.1591,1777515246.4788,0.3198,33,89.98,0.2415,0.546758,0.339931,1.792797,0.66117,3.0311,6.2517,6.2517,0.337427
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,6,right,stance,right,stance_leg,roll,1777515246.1591,1777515246.4788,0.3198,33,29.99,0.1818,0.562549,0.812258,1.759351,2.173876,3.0311,6.2517,6.2517,0.258971
real,40/0.8 all_ankles,40.0,0.8,t27_tracking_lag_b1_diag_20260430_101404.csv,6,right,stance,left,swing_leg,pitch,1777515246.1591,1777515246.4788,0.3198,33,179.95,0.4311,0.334526,0.213715,0.882218,0.409653,3.0311,6.2517,6.2517,0.089142
