dataset,case_label,side,axis,phase,n_samples,duration_sec,pos_peak1_hz,pos_peak1_amp,pos_peak2_hz,pos_peak2_amp,pos_peak3_hz,pos_peak3_amp,pos_energy_2-4Hz,pos_energy_4-8Hz,pos_energy_8-15Hz,pos_energy_15-20Hz,pos_osc_rad,des_peak1_hz,des_peak1_amp,des_peak2_hz,des_peak2_amp,des_peak3_hz,des_peak3_amp,des_energy_2-4Hz,des_energy_4-8Hz,des_energy_8-15Hz,des_energy_15-20Hz,des_osc_rad,err_peak1_hz,err_peak1_amp,err_peak2_hz,err_peak2_amp,err_peak3_hz,err_peak3_amp,err_energy_2-4Hz,err_energy_4-8Hz,err_energy_8-15Hz,err_energy_15-20Hz,err_osc_rad
real,35/0.5 all_ankles,right,roll,stance,2048,20.48,8.154,1e-05,8.106,1e-05,8.203,1e-05,0.0432,0.0874,0.1659,0.0985,0.01411,1.416,0.10556,4.297,0.09562,2.881,0.09324,0.1666,0.1669,0.0273,0.001,0.2701,1.416,0.10557,4.297,0.09562,2.881,0.09324,0.1666,0.1669,0.0273,0.001,0.26973
real,40/0.8 all_ankles,left,pitch,all,930,9.3,1.613,0.01031,1.721,0.00989,2.796,0.00893,0.0052,0.0011,0.0005,0.0,0.07425,1.398,0.03257,2.903,0.03253,3.011,0.0307,0.0698,0.0906,0.0116,0.0029,0.16412,2.903,0.0392,1.506,0.03673,1.29,0.03257,0.1923,0.2022,0.0307,0.0063,0.19889
real,40/0.8 all_ankles,left,pitch,swing,825,8.25,2.303,0.00486,1.576,0.00481,2.424,0.00469,0.0021,0.0014,0.0003,0.0,0.06667,1.333,0.04492,1.455,0.04117,4.243,0.03324,0.0369,0.0835,0.0118,0.0017,0.15311,1.455,0.04268,1.333,0.04245,2.788,0.03296,0.1453,0.3011,0.0424,0.0055,0.18297
real,40/0.8 all_ankles,left,pitch,stance,105,1.05,0.952,0.10187,5.715,0.05114,4.762,0.04748,0.0425,0.1209,0.0103,0.0203,0.11793,0.952,0.19357,1.905,0.04637,4.762,0.03822,0.0069,0.0231,0.0165,0.0134,0.23294,0.952,0.09175,4.762,0.08536,5.715,0.07989,0.0102,0.3262,0.0447,0.0378,0.29532
real,40/0.8 all_ankles,left,roll,all,930,9.3,1.29,0.01644,1.398,0.01638,1.183,0.0139,0.0454,0.1096,0.0081,0.0006,0.07298,1.398,0.11876,1.506,0.09907,2.903,0.05315,0.0884,0.0685,0.0066,0.0011,0.21919,1.398,0.1129,1.506,0.08611,2.903,0.05221,0.1381,0.1217,0.0091,0.0017,0.209
real,40/0.8 all_ankles,left,roll,swing,825,8.25,1.818,0.00897,1.697,0.00862,1.94,0.00828,0.0432,0.0761,0.0087,0.0012,0.06851,1.455,0.10717,1.333,0.07037,1.576,0.06995,0.1017,0.0697,0.0053,0.0006,0.21748,1.455,0.11084,1.333,0.07426,1.576,0.06343,0.132,0.1096,0.0076,0.0008,0.2096
real,40/0.8 all_ankles,left,roll,stance,105,1.05,3.81,0.04876,4.762,0.03714,0.952,0.03378,0.2493,0.152,0.0691,0.0122,0.101,3.81,0.09322,0.952,0.0931,2.857,0.06758,0.1883,0.1352,0.0581,0.0096,0.23196,0.952,0.0705,3.81,0.06804,5.715,0.05205,0.1872,0.1032,0.1099,0.021,0.20418
real,40/0.8 all_ankles,right,pitch,all,930,9.3,1.398,0.02143,0.753,0.01916,0.86,0.019,0.1475,0.0135,0.0012,0.0001,0.16473,0.538,0.01755,0.645,0.01604,0.753,0.01293,0.0076,0.0024,0.0008,0.0004,0.10679,0.538,0.03313,0.645,0.03107,0.753,0.0285,0.0268,0.0038,0.0007,0.0003,0.24388
real,40/0.8 all_ankles,right,pitch,swing,234,2.34,1.71,0.07819,2.137,0.06188,1.282,0.05705,0.1215,0.0378,0.0013,0.0004,0.15133,2.992,0.03919,1.282,0.03542,0.855,0.0345,0.0236,0.0255,0.0099,0.0028,0.13896,1.71,0.07251,2.992,0.07197,2.137,0.05712,0.2118,0.1385,0.0236,0.0065,0.22329
real,40/0.8 all_ankles,right,pitch,stance,696,6.96,0.575,0.00655,0.718,0.00541,0.862,0.00429,0.0022,0.0012,0.0005,0.0004,0.12535,0.575,0.00415,0.718,0.00365,0.862,0.00322,0.0002,0.0003,0.0001,0.0,0.07712,0.575,0.0105,0.718,0.00878,0.862,0.00716,0.0004,0.0003,0.0001,0.0001,0.18728
