dataset,case_label,diag_csv,step_index,touchdown_side,window,side,axis,cycle_index,lag_ms,target_amplitude_rad,joint_amplitude_rad,amplitude_gain,segment_duration_sec,equivalent_frequency_hz,segment_tracking_err_rms_rad,segment_target_path_rad,segment_joint_path_rad
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,left,roll,2,0.0,0.074818,0.0450946,0.6027239434360715,0.030048370361328125,16.6398375015869,0.22768495764343438,0.074818,0.0450946
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,left,pitch,1,39.99805450439453,0.511841,0.128981,0.2519942716585815,0.06002020835876465,8.33052756183886,0.185547469457006,0.5480589999999999,0.128981
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,left,pitch,2,39.99805450439453,0.05485179999999999,0.036176000000000014,0.6595225680834543,0.019814252853393555,25.23436052318096,0.13122321435900738,0.05485179999999999,0.036176000000000014
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,right,roll,1,19.999027252197266,0.036095100000000005,0.0846547,2.345323880526719,0.07002854347229004,7.139945730812574,0.03083462386908384,0.039269699999999984,0.0846547
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,right,roll,2,19.999027252197266,0.0345276,0.039758699999999994,1.1515048830500816,0.039699554443359375,12.594599788603825,0.01240639420766566,0.0504846,0.039758699999999994
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,right,pitch,1,39.99805450439453,0.20153599999999997,0.019098999999999977,0.09476718799618918,0.07002854347229004,7.139945730812574,0.10888611729979629,0.203182,0.036605
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,1,left,touchdown,right,pitch,2,39.99805450439453,0.014314999999999994,0.027119000000000004,1.8944463849109336,0.019814252853393555,25.23436052318096,0.14421709800621194,0.067603,0.027119000000000004
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,left,roll,1,129.99367713928223,0.09424900000000003,0.06373960000000001,0.6762894036010991,0.039961814880371094,12.511944252201513,0.4629921342143646,0.278269,0.06373960000000001
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,left,roll,2,129.99367713928223,0.06469199999999997,0.055101300000000006,0.8517482841773331,0.030001401901245117,16.665887869034847,0.4628316241331776,0.0771980000000001,0.055101300000000006
real,25/0.4 all_ankles,t27_tracking_lag_b1_diag_20260430_100024.csv,2,right,swing,left,roll,3,129.99367713928223,0.168622,0.0605632,0.3591654706977737,0.08983945846557617,5.56548323576088,0.3487692905673119,0.17107600000000006,0.07850920000000002
