timestamp_ns,gyro_x,gyro_y,gyro_z
1775801483229739494,0.000517089,0.00470806,0.0012946
1775801483230713481,0.000517089,0.00470806,0.0012946
1775801483231745122,-0.0019717,0.00315859,0.00232651
1775801483232703571,-0.0019717,0.00315859,0.00232651
1775801483233753727,-0.0019717,0.00315859,0.00232651
1775801483234711913,-0.0019717,0.00315859,0.00232651
1775801483235719321,-0.0019717,0.00315859,0.00232651
1775801483236918063,-0.00201648,0.00136228,0.00324935
1775801483237821353,-0.00201648,0.00136228,0.00324935
1775801483238928117,-0.00201648,0.00136228,0.00324935
1775801483239795060,-0.00201648,0.00136228,0.00324935
1775801483241039976,-0.00201648,0.0013,0.00136228,0.00324935
1775801483241678677,-0.0018955,1.76278e-05,0.00210913
1775801483242855735,-0.0018955,1.76278e-05,0.00210913
1775801483243754021,-0.0018955,1.76278e-05,0.00210913
1775801483244834436,-0.0018955,1.76278e-05,0.00210913
1775801483245647035,-0.0018955,1.76278e-05,0.00210913
1775801483246821602,-0.0018955,1.76278e-05,0.00210913
1775801483247765267,0.000668636,0.000299446,0.00399878
1775801483248695771,0.000668636,0.000299446,0.00399878
1775801483249741329,0.000668636,0.000299446,0.00399878
1775801483250832344,0.000668636,0.000299446,0.00399878
1775801483251748362,0.000668636,0.000299446,0.00399878
1775801483252871335,0.000791123,0.000770545,0.00524564
1775801483253772449,0.000791123,0.000770545,0.00524564
1775801483254867974,0.000791123,0.000770545,0.00524564
1775801483255775387,0.000791123,0.000770545,0.00524564
1775801483256648268,0.000791123,0.000770545,0.00524564
1775801483257658861,-0.00167859,0.00327202,0.0031755
1775801483258669748,-0.00167859,0.00327202,0.0031755
1775801483259646214,-0.00167859,0.00327202,0.0031755
1775801483260604141,-0.00167859,0.00327202,0.0031755
1775801483261619423,-0.00167859,0.00327202,0.0031755
1775801483262630104,-0.000352487,0.00225453,-0.00139092
1775801483263618084,-0.000352487,0.00225453,-0.00139092
1775801483264643967,-0.000352487,0.00225453,-0.00139092
1775801483265652511,-0.000352487,0.00225453,-0.00139092
1775801483266642831,-0.000352487,0.00225453,-0.00139092
1775801483267650818,0.000316934,-0.000907658,0.000981765
1775801483268629264,0.000316934,-0.000907658,0.000981765
1775801483269704832,0.000316934,-0.000907658,0.000981765
1775801483270662397,0.000316934,-0.000907658,0.000981765
1775801483271657879,0.000316934,-0.000907658,0.000981765
1775801483272652031,-0.00042024,0.00162035,0.00257728
1775801483273659693,-0.00042024,0.00162035,0.00257728
1775801483274654106,-0.00042024,0.00162035,0.00257728
1775801483275639491,-0.00042024,0.00162035,0.00257728
1775801483276628737,-0.00042024,0.00162035,0.00257728
1775801483277650914,0.000146067,0.00182811,0.000897274
1775801483278672239,0.000146067,0.00182811,0.000897274
1775801483279668903,0.000146067,0.00182811,0.000897274
1775801483280642956,0.000146067,0.00182811,0.000897274
1775801483281677687,-0.00202193,0.000802188,-0.00103241
1775801483282677158,-0.00202193,0.000802188,-0.00103241
1775801483283684346,-0.00202193,0.000802188,-0.00103241
1775801483284689048,-0.00202193,0.000802188,-0.00103241
1775801483285669679,-0.00202193,0.000802188,-0.00103241
1775801483286665348,-0.00202193,0.000802188,-0.00103241
1775801483287665501,0.00211984,-0.000238744,-0.000301959
1775801483288653264,0.00211984,-0.000238744,-0.000301959
1775801483289641664,0.00211984,-0.000238744,-0.000301959
1775801483290663257,0.00211984,-0.000238744,-0.000301959
1775801483291679441,0.00211984,-0.000238744,-0.000301959
1775801483292630837,-2.14676e-06,0.000640658,0.000154322
1775801483293674052,-2.14676e-06,0.000640658,0.000154322
1775801483294698064,-2.14676e-06,0.000640658,0.000154322
1775801483295715342,-2.14676e-06,0.000640658,0.000154322
1775801483296676362,0.00143915,-0.00351089,-0.00189136
1775801483297665524,0.00143915,-0.00351089,-0.00189136
1775801483298658666,0.00143915,-0.00351089,-0.00189136
1775801483299659341,0.00143915,-0.00351089,-0.00189136
1775801483300644355,0.00143915,-0.00351089,-0.00189136
1775801483301642407,0.00143915,-0.00351089,-0.00189136
1775801483302679460,-0.00084638,-0.00104173,-0.00191405
1775801483303643245,-0.00084638,-0.00104173,-0.00191405
1775801483304677825,-0.00084638,-0.00104173,-0.00191405
1775801483305686231,-0.00084638,-0.00104173,-0.00191405
1775801483306648205,-0.00084638,-0.00104173,-0.00191405
1775801483307649926,-0.00239822,-0.00238234,0.00018511
1775801483308605263,-0.00239822,-0.00238234,0.00018511
1775801483309643150,-0.00239822,-0.00238234,0.00018511
1775801483310647007,-0.00239822,-0.00238234,0.00018511
1775801483311707531,-0.00239822,-0.00238234,0.00018511
1775801483312631523,0.00194496,-0.000423434,-0.00232331
1775801483313675124,0.00194496,-0.000423434,-0.00232331
1775801483314679187,0.00194496,-0.000423434,-0.00232331
1775801483315642686,0.00194496,-0.000423434,-0.00232331
1775801483316631389,0.00194496,-0.000423434,-0.00232331
1775801483317659003,-0.0023412,0.000633328,-0.00338733
1775801483318658639,-0.0023412,0.000633328,-0.00338733
1775801483319685211,-0.0023412,0.000633328,-0.00338733
1775801483320631415,-0.0023412,0.000633328,-0.00338733
1775801483321665263,-0.0023412,0.000633328,-0.00338733
1775801483322685489,-0.00210832,-0.00254781,-0.00546525
1775801483323676424,-0.00210832,-0.00254781,-0.00546525
1775801483324644643,-0.00210832,-0.00254781,-0.00546525
1775801483325670880,-0.00210832,-0.00254781,-0.00546525
1775801483326662649,-0.00210832,-0.00254781,-0.00546525
1775801483327667527,0.00311444,-0.00290231,-0.00237836
1775801483328697308,0.00311444,-0.00290231,-0.00237836
1775801483329664577,0.00311444,-0.00290231,-0.00237836
1775801483330669079,0.00311444,-0.00290231,-0.00237836
1775801483331660903,0.00311444,-0.00290231,-0.00237836
1775801483332629827,0.00400632,-0.00228451,-0.00172932
1775801483333677603,0.00400632,-0.00228451,-0.00172932
1775801483334677042,0.00400632,-0.00228451,-0.00172932
1775801483335670806,0.00400632,-0.00228451,-0.00172932
1775801483336678145,0.00400632,-0.00228451,-0.00172932
1775801483337666757,-0.000470104,-0.00062022,0.000975604
1775801483338677953,-0.000470104,-0.00062022,0.000975604
1775801483339666872,-0.000470104,-0.00062022,0.000975604
1775801483340640999,-0.000470104,-0.00062022,0.000975604
