timestamp_ns,accel_x,accel_y,accel_z
1775801479531817101,-0.349982,0.021453,9.75926
1775801479532906223,-0.349982,0.021453,9.75926
1775801479533793401,-0.349982,0.021453,9.75926
1775801479534915896,-0.349982,0.021453,9.75926
1775801479535684653,-0.349982,0.021453,9.75926
1775801479536686174,-0.355376,0.020618,9.76833
1775801479537673160,-0.355376,0.020618,9.76833
1775801479538706439,-0.355376,0.020618,9.76833
1775801479539688907,-0.355376,0.020618,9.76833
1775801479540711275,-0.355376,0.020618,9.76833
1775801479541680094,-0.355376,0.020618,9.76833
1775801479542721992,-0.355642,0.009954,9.76397
1775801479543670277,-0.355642,0.009954,9.76397
1775801479544698156,-0.355642,0.009954,9.76397
1775801479545680480,-0.355642,0.009954,9.76397
1775801479546693887,-0.355642,0.009954,9.76397
1775801479547678444,-0.360593,0.009698,9.77008
1775801479548675981,-0.360593,0.009698,9.77008
1775801479549668777,-0.360593,0.009698,9.77008
1775801479550673920,-0.360593,0.009698,9.77008
1775801479551691176,-0.360593,0.009698,9.77008
1775801479552676249,-0.357617,0.017498,9.77365
1775801479553689428,-0.357617,0.017498,9.77365
1775801479554725082,-0.357617,0.017498,9.77365
1775801479555727839,-0.357617,0.017498,9.77365
1775801479556687612,-0.357617,0.017498,9.77365
1775801479557696974,-0.359517,0.02009,9.7749
1775801479558689554,-0.359517,0.02009,9.7749
1775801479559676501,-0.359517,0.02009,9.7749
1775801479560705238,-0.359517,0.02009,9.7749
1775801479561691811,-0.359517,0.02009,9.7749
1775801479562671372,-0.358959,0.010283,9.77318
1775801479563662546,-0.358959,0.010283,9.77318
1775801479564706299,-0.358959,0.010283,9.77318
1775801479565698689,-0.358959,0.010283,9.77318
1775801479566673831,-0.358959,0.010283,9.77318
1775801479567689875,-0.36087,-0.009537,9.77112
1775801479568677925,-0.36087,-0.009537,9.77112
1775801479569717905,-0.36087,-0.009537,9.77112
1775801479570675544,-0.36087,-0.009537,9.77112
1775801479571668753,-0.357958,0.005779,9.76937
1775801479572801733,-0.357958,0.005779,9.76937
1775801479573672853,-0.357958,0.005779,9.76937
1775801479574716979,-0.357958,0.005779,9.76937
1775801479575704884,-0.357958,0.005779,9.76937
1775801479576718327,-0.357958,0.005779,9.76937
1775801479577709502,-0.353849,0.023903,9.78334
1775801479578673238,-0.353849,0.023903,9.78334
1775801479579667917,-0.353849,0.023903,9.78334
1775801479580688070,-0.353849,0.023903,9.78334
1775801479581685145,-0.353849,0.023903,9.78334
1775801479582690838,-0.351604,0.01192,9.79943
1775801479583685071,-0.351604,0.01192,9.79943
1775801479584677139,-0.351604,0.01192,9.79943
1775801479585654654,-0.351604,0.01192,9.79943
1775801479586673594,-0.351604,0.01192,9.79943
1775801479587664916,-0.341718,-0.003042,9.79437
1775801479588676942,-0.341718,-0.003042,9.79437
1775801479589667998,-0.341718,-0.003042,9.79437
1775801479590691329,-0.341718,-0.003042,9.79437
1775801479591681641,-0.341718,-0.003042,9.79437
1775801479592767597,-0.346249,-0.004578,9.79759
1775801479593684305,-0.346249,-0.004578,9.79759
1775801479594675958,-0.346249,-0.004578,9.79759
1775801479595666405,-0.346249,-0.004578,9.79759
1775801479596791681,-0.346249,-0.004578,9.79759
1775801479597784129,-0.339209,0.015856,9.80455
1775801479598921923,-0.339209,0.015856,9.80455
1775801479599790722,-0.339209,0.015856,9.80455
1775801479600908431,-0.339209,0.015856,9.80455
1775801479601816225,-0.339209,0.015856,9.80455
1775801479602987601,-0.336548,0.016698,9.81119
1775801479603830137,-0.336548,0.016698,9.81119
1775801479604870681,-0.336548,0.016698,9.81119
1775801479605669344,-0.336548,0.016698,9.81119
1775801479606668192,-0.336548,0.016698,9.81119
1775801479607666009,-0.338549,0.00711,9.81198
1775801479608683768,-0.338549,0.00711,9.81198
1775801479609688407,-0.338549,0.00711,9.81198
1775801479610664382,-0.338549,0.00711,9.81198
1775801479611664289,-0.338549,0.00711,9.81198
1775801479612718494,-0.349672,0.007379,9.81117
1775801479613697317,-0.349672,0.007379,9.81117
1775801479614674557,-0.349672,0.007379,9.81117
1775801479615649052,-0.349672,0.007379,9.81117
1775801479616684279,-0.349672,0.007379,9.81117
1775801479617682691,-0.347893,0.019816,9.82392
1775801479618704724,-0.347893,0.019816,9.82392
1775801479619674222,-0.347893,0.019816,9.82392
1775801479620664485,-0.347893,0.019816,9.82392
1775801479621688103,-0.347893,0.019816,9.82392
1775801479622664505,-0.334721,0.035072,9.8297
1775801479623693574,-0.334721,0.035072,9.8297
1775801479624666999,-0.334721,0.035072,9.8297
1775801479625679682,-0.334721,0.035072,9.8297
1775801479626695343,-0.334721,0.035072,9.8297
1775801479627663588,-0.333164,0.022999,9.83096
1775801479628666659,-0.333164,0.022999,9.83096
1775801479629690737,-0.333164,0.022999,9.83096
1775801479630684122,-0.333164,0.022999,9.83096
1775801479631668115,-0.333164,0.022999,9.83096
1775801479632680533,-0.33004,0.009187,9.83471
1775801479633674902,-0.33004,0.009187,9.83471
1775801479634666022,-0.33004,0.009187,9.83471
1775801479635662937,-0.33004,0.009187,9.83471
1775801479636686091,-0.33004,0.009187,9.83471
1775801479637677134,-0.33325,0.017911,9.84568
1775801479638666605,-0.33325,0.017911,9.84568
1775801479639664490,-0.33325,0.017911,9.84568
1775801479640665685,-0.33325,0.017911,9.84568
1775801479641653387,-0.33325,0.017911,9.84568
1775801479642717395,-0.332065,0.02125,9.85075
1775801479643665053,-0.332065,0.02125,9.85075
1775801479644661801,-0.332065,0.02125,9.85075
1775801479645652299,-0.332065,0.02125,9.85075
1775801479646633990,-0.332065,0.02125,9.85075
1775801479647622858,-0.340777,0.019256,9.8522
1775801479648634805,-0.340777,0.019256,9.8522
1775801479649815174,-0.340777,0.019256,9.8522
1775801479650740530,-0.340777,0.019256,9.8522
1775801479651816738,-0.340777,0.019256,9.8522
1775801479652658034,-0.332616,0.02359,9.85375
1775801479653825866,-0.332616,0.02359,9.85375
1775801479654681662,-0.332616,0.02359,9.85375
1775801479655775459,-0.332616,0.02359,9.85375
1775801479656641162,-0.332616,0.02359,9.85375
1775801479657886252,-0.336552,0.017968,9.86196
1775801479658756215,-0.336552,0.017968,9.86196
1775801479659855496,-0.336552,0.017968,9.86196
1775801479660655735,-0.336552,0.017968,9.86196
1775801479661857578,-0.333921,0.023418,9.86613
1775801479662679044,-0.333921,0.023418,9.86613
1775801479663766619,-0.333921,0.023418,9.86613
1775801479664631990,-0.333921,0.023418,9.86613
1775801479665929992,-0.333921,0.023418,9.86613
1775801479666746799,-0.333921,0.023418,9.86613
1775801479667843844,-0.331931,0.019411,9.86418
1775801479668638056,-0.331931,0.019411,9.86418
1775801479669879388,-0.331931,0.019411,9.86418
1775801479670785590,-0.331931,0.019411,9.86418
1775801479671959064,-0.335439,-0.001422,9.85017
1775801479672675496,-0.335439,-0.001422,9.85017
1775801479673947199,-0.335439,-0.001422,9.85017
1775801479674787728,-0.335439,-0.001422,9.85017
1775801479676055746,-0.335439,-0.001422,9.85017
1775801479676667077,-0.335439,-0.001422,9.85017
1775801479677871631,-0.348704,-0.009274,9.85597
1775801479678646970,-0.348704,-0.009274,9.85597
1775801479679816947,-0.348704,-0.009274,9.85597
1775801479680627655,-0.348704,-0.009274,9.85597
1775801479681850903,-0.340923,0.010867,9.86742
1775801479682759566,-0.340923,0.010867,9.86742
1775801479683836846,-0.340923,0.010867,9.86742
1775801479684661817,-0.340923,0.010867,9.86742
1775801479685869987,-0.340923,0.010867,9.86742
1775801479686792548,-0.340923,0.010867,9.86742
1775801479687928102,-0.344014,0.032221,9.87071
1775801479688669982,-0.344014,0.032221,9.87071
1775801479689857323,-0.344014,0.032221,9.87071
1775801479690765661,-0.344014,0.032221,9.87071
1775801479691842754,-0.35199,0.030324,9.86026
1775801479692670361,-0.35199,0.030324,9.86026
1775801479693853082,-0.35199,0.030324,9.86026
1775801479694660770,-0.35199,0.030324,9.86026
1775801479695753892,-0.35199,0.030324,9.86026
1775801479696652231,-0.35199,0.030324,9.86026
1775801479697919528,-0.352047,0.007925,9.85952
1775801479698768694,-0.352047,0.007925,9.85952
1775801479699831867,-0.352047,0.007925,9.85952
1775801479700679359,-0.352047,0.007925,9.85952
1775801479701812981,-0.357057,0.013734,9.86119
1775801479702746596,-0.357057,0.013734,9.86119
1775801479703846926,-0.357057,0.013734,9.86119
1775801479704666841,-0.357057,0.013734,9.86119
1775801479705869720,-0.357057,0.013734,9.86119
1775801479706809613,-0.357057,0.013734,9.86119
1775801479707779502,-0.350564,0.03342,9.85701
1775801479708693413,-0.350564,0.03342,9.85701
1775801479709903002,-0.350564,0.03342,9.85701
1775801479710676914,-0.350564,0.03342,9.85701
1775801479711850321,-0.336584,0.029539,9.84466
1775801479712666170,-0.336584,0.029539,9.84466
1775801479713876697,-0.336584,0.029539,9.84466
1775801479714842284,-0.336584,0.029539,9.84466
1775801479715894742,-0.336584,0.029539,9.84466
1775801479716688122,-0.336584,0.029539,9.84466
1775801479717889306,-0.328752,0.001906,9.84062
1775801479718812176,-0.328752,0.001906,9.84062
1775801479719903462,-0.328752,0.001906,9.84062
1775801479720672753,-0.328752,0.001906,9.84062
1775801479721927944,-0.331327,-0.002656,9.84858
1775801479722852753,-0.331327,-0.002656,9.84858
1775801479723906512,-0.331327,-0.002656,9.84858
1775801479724685868,-0.331327,-0.002656,9.84858
1775801479725924226,-0.331327,-0.002656,9.84858
1775801479726792829,-0.331327,-0.002656,9.84858
1775801479727895275,-0.325425,0.015075,9.83308
1775801479728716685,-0.325425,0.015075,9.83308
1775801479729931217,-0.325425,0.015075,9.83308
1775801479730779694,-0.325425,0.015075,9.83308
1775801479731828709,-0.325425,0.015075,9.83308
1775801479732668665,-0.326234,0.00274,9.8262
1775801479733962880,-0.326234,0.00274,9.8262
1775801479734684703,-0.326234,0.00274,9.8262
1775801479735764387,-0.326234,0.00274,9.8262
1775801479736705714,-0.312399,-0.009357,9.82484
1775801479737691483,-0.312399,-0.009357,9.82484
1775801479738673295,-0.312399,-0.009357,9.82484
1775801479739698781,-0.312399,-0.009357,9.82484
1775801479740734472,-0.312399,-0.009357,9.82484
1775801479741766521,-0.312399,-0.009357,9.82484
1775801479742722450,-0.311258,-0.008576,9.81788
1775801479743689931,-0.311258,-0.008576,9.81788
1775801479744689553,-0.311258,-0.008576,9.81788
1775801479745678092,-0.311258,-0.008576,9.81788
1775801479746667670,-0.311258,-0.008576,9.81788
1775801479747755384,-0.329797,0.005694,9.81237
1775801479748700048,-0.329797,0.005694,9.81237
1775801479749703723,-0.329797,0.005694,9.81237
1775801479750789933,-0.329797,0.005694,9.81237
1775801479751675124,-0.329797,0.005694,9.81237
1775801479752657520,-0.335254,0.007795,9.8119
1775801479753663927,-0.335254,0.007795,9.8119
1775801479754640863,-0.335254,0.007795,9.8119
1775801479755646852,-0.335254,0.007795,9.8119
1775801479756645168,-0.325159,-0.001942,9.80722
1775801479757647285,-0.325159,-0.001942,9.80722
1775801479758663916,-0.325159,-0.001942,9.80722
1775801479759659113,-0.325159,-0.001942,9.80722
1775801479760653881,-0.325159,-0.001942,9.80722
1775801479761668791,-0.325159,-0.001942,9.80722
1775801479762664745,-0.328529,0.007654,9.80112
1775801479763679919,-0.328529,0.007654,9.80112
1775801479764689595,-0.328529,0.007654,9.80112
1775801479765672062,-0.328529,0.007654,9.80112
1775801479766665441,-0.328529,0.007654,9.80112
1775801479767673911,-0.340464,0.009671,9.78959
1775801479768727172,-0.340464,0.009671,9.78959
1775801479769696104,-0.340464,0.009671,9.78959
1775801479770665836,-0.340464,0.009671,9.78959
1775801479771673859,-0.340464,0.009671,9.78959
1775801479772668292,-0.346084,0.011785,9.78969
1775801479773692120,-0.346084,0.011785,9.78969
1775801479774692679,-0.346084,0.011785,9.78969
1775801479775676703,-0.346084,0.011785,9.78969
1775801479776709499,-0.356019,4.8e-05,9.78129
1775801479777673134,-0.356019,4.8e-05,9.78129
1775801479778664734,-0.356019,4.8e-05,9.78129
1775801479779672036,-0.356019,4.8e-05,9.78129
1775801479780710970,-0.356019,4.8e-05,9.78129
1775801479781677709,-0.356019,4.8e-05,9.78129
1775801479782709581,-0.360848,-0.008471,9.78013
1775801479783689099,-0.360848,-0.008471,9.78013
1775801479784709369,-0.360848,-0.008471,9.78013
1775801479785752960,-0.360848,-0.008471,9.78013
1775801479786698349,-0.359014,0.017407,9.77584
1775801479787675161,-0.359014,0.017407,9.77584
1775801479788687900,-0.359014,0.017407,9.77584
1775801479789674040,-0.359014,0.017407,9.77584
1775801479790663279,-0.359014,0.017407,9.77584
1775801479791708567,-0.359014,0.017407,9.77584
1775801479792741393,-0.372476,0.014232,9.78097
1775801479793705524,-0.372476,0.014232,9.78097
1775801479794737675,-0.372476,0.014232,9.78097
1775801479795671914,-0.372476,0.014232,9.78097
1775801479796684958,-0.374902,0.009324,9.77013
1775801479797663990,-0.374902,0.009324,9.77013
1775801479798666830,-0.374902,0.009324,9.77013
1775801479799624710,-0.374902,0.009324,9.77013
1775801479800623383,-0.374902,0.009324,9.77013
1775801479801650610,-0.374902,0.009324,9.77013
1775801479802788979,-0.374605,-0.003028,9.76321
1775801479803751511,-0.374605,-0.003028,9.76321
