stage,case_label,detector,seq,side,time_sec,source,rel_height_m,foot_vz_mps,hip_pitch_rad
real,40/0.8 all_ankles,old,4,left,1777515245.6989918,contact_refined,0.04306000290457751,-1.2883778257946217,0.607945
real,40/0.8 all_ankles,old,5,left,1777515245.848849,contact_refined,-0.026808893530429256,-0.08645709656407564,0.285037
real,40/0.8 all_ankles,old,6,left,1777515245.848849,contact_refined,-0.026808893530429256,-0.08645709656407564,0.285037
real,40/0.8 all_ankles,old,7,left,1777515246.0589755,contact_refined,-0.06494793998126458,0.07193181788721802,0.467775
real,40/0.8 all_ankles,new,0,left,1777515244.4189363,kinematic_fk_hip,-0.00010478881296066556,-0.05611948639098897,0.469118
real,40/0.8 all_ankles,new,1,right,1777515244.758935,kinematic_fk_hip,-0.008820293167366489,0.045123656763440635,-0.51207
real,40/0.8 all_ankles,new,2,left,1777515245.0688696,kinematic_fk_hip,0.017451888805618487,-0.01761624466534166,0.594139
real,40/0.8 all_ankles,new,3,right,1777515245.4290211,kinematic_fk_hip,-0.004950965542337982,0.07889049529239088,-0.453969
real,40/0.8 all_ankles,new,4,left,1777515245.7589765,kinematic_fk_hip,-0.005993520864648549,-0.030183931403904282,0.467967
real,40/0.8 all_ankles,new,5,right,1777515246.1590714,kinematic_fk_hip,0.009723297501141148,-0.077261953249722,-0.488293
real,40/0.8 all_ankles,new,6,left,1777515246.4387767,kinematic_fk_hip,-0.007853279684321535,-0.017544775772031247,0.551763
real,40/0.8 all_ankles,new,7,right,1777515246.8988492,kinematic_fk_hip,-0.005187575364834163,0.014408448757658331,-0.523575
sim,25/0.4,old,0,left,1778045945.6783063,contact_refined,0.04964350638914605,0.14951140616280448,0.604031
sim,25/0.4,old,1,left,1778045946.3783069,contact_refined,0.04763934165350431,0.17800527169135513,0.63427
sim,25/0.4,old,2,left,1778045946.6983078,contact_refined,-0.03152312735011359,-0.1243684457847271,0.444437
sim,25/0.4,old,3,right,1778045947.018314,contact_refined,-0.03224672614405216,-0.13207617731620863,-0.514571
sim,25/0.4,old,4,right,1778045947.018314,contact_refined,-0.03224672614405216,-0.13207617731620863,-0.514571
sim,25/0.4,old,5,left,1778045947.1483085,contact_refined,0.054147561098916386,-0.16770523134614002,0.603058
sim,25/0.4,old,6,left,1778045947.1483085,contact_refined,0.054147561098916386,-0.16770523134614002,0.603058
sim,25/0.4,old,7,right,1778045947.458305,contact_refined,0.0434512981480375,-0.09950132127038602,-0.62585
sim,25/0.4,new,0,left,1778045945.938313,kinematic_fk_hip,-0.004181671820537136,-0.01751341609170498,0.447648
sim,25/0.4,new,1,left,1778045946.6283128,kinematic_fk_hip,-0.0025183725445757643,-0.07879783409871347,0.45004
sim,25/0.4,new,2,right,1778045946.9583108,kinematic_fk_hip,-0.004242736370587641,0.062431689838218805,-0.518524
sim,25/0.4,new,3,left,1778045947.3183627,kinematic_fk_hip,-0.008769265044049346,0.04138964512873377,0.474765
sim,25/0.4,new,4,right,1778045947.608308,kinematic_fk_hip,-0.011732226446946548,0.011425456358999712,-0.657819
sim,25/0.4,new,5,left,1778045947.9683042,kinematic_fk_hip,-0.005231653833581262,-0.04933680416080336,0.552458
sim,25/0.4,new,6,right,1778045948.3284006,kinematic_fk_hip,-0.02190699660261597,-0.023954643142928528,-0.631371
sim,25/0.4,new,7,left,1778045948.67831,kinematic_fk_hip,-0.004451627974997707,0.0008933774227491331,0.530456
sim,35/0.5,old,0,left,1778045424.872843,contact_refined,0.04801372145249183,0.17642416710218214,0.601103
sim,35/0.5,old,1,left,1778045425.2128375,contact_refined,-0.03424146134928269,-0.08277842647664202,0.445556
sim,35/0.5,old,2,right,1778045425.522849,contact_refined,-0.03023233486104132,-0.12297708391997939,-0.45738
sim,35/0.5,old,3,left,1778045425.5928378,contact_refined,0.05149328102992917,0.10299274139346432,0.607111
sim,35/0.5,old,4,right,1778045425.9028301,contact_refined,0.042459714379336044,0.07596117263087708,-0.49465
sim,35/0.5,old,5,right,1778045425.9028301,contact_refined,0.042459714379336044,0.07596117263087708,-0.49465
sim,35/0.5,old,6,right,1778045426.192839,contact_refined,-0.05059396774504665,-0.14825725139709917,-0.521692
sim,35/0.5,old,7,left,1778045426.322835,contact_refined,0.06678155113894557,-0.2989535333891124,0.602107
sim,35/0.5,new,0,left,1778045425.1428285,kinematic_fk_hip,-0.006463379665866853,0.016643529581667618,0.445002
sim,35/0.5,new,1,right,1778045425.452839,kinematic_fk_hip,-0.002324903064934769,-0.04452842720300622,-0.446992
sim,35/0.5,new,2,left,1778045425.8128414,kinematic_fk_hip,-0.005030305091530296,-0.05199646790205737,0.47792
sim,35/0.5,new,3,right,1778045426.1128397,kinematic_fk_hip,-0.010111440494400048,-0.04852717072610673,-0.61762
sim,35/0.5,new,4,left,1778045426.4828308,kinematic_fk_hip,-0.005418914651166062,-0.07692905296058782,0.534245
sim,35/0.5,new,5,right,1778045426.8128362,kinematic_fk_hip,-0.01098678708685985,-0.06411436847211782,-0.632631
sim,35/0.5,new,6,left,1778045427.2028403,kinematic_fk_hip,-0.006878226630774864,-0.0220338817150941,0.489267
sim,35/0.5,new,7,right,1778045427.5729396,kinematic_fk_hip,-0.016687588178177726,-3.274968193580179e-05,-0.538439
sim,40/0.5,old,0,left,1778046113.7020278,contact_refined,0.048686617364532725,0.09512342425183652,0.609302
sim,40/0.5,old,1,right,1778046114.0019934,contact_refined,0.04127399409631616,0.15278035984514565,-0.505874
sim,40/0.5,old,2,right,1778046114.3019755,contact_refined,-0.04561874219770323,-0.1532009090159606,-0.519937
sim,40/0.5,old,3,left,1778046114.432008,contact_refined,0.06349702560335402,-0.27080821982300896,0.602792
sim,40/0.5,old,4,left,1778046114.432008,contact_refined,0.06349702560335402,-0.27080821982300896,0.602792
sim,40/0.5,old,5,right,1778046114.7019968,contact_refined,0.044946078669537926,-0.008415517404921323,-0.496636
sim,40/0.5,old,6,right,1778046114.9819832,contact_refined,-0.04067800724729409,-0.15496981200409504,-0.532282
sim,40/0.5,old,7,right,1778046114.9819832,contact_refined,-0.04067800724729409,-0.15496981200409504,-0.532282
sim,40/0.5,new,0,left,1778046113.9219964,kinematic_fk_hip,-0.0065703088570964185,0.028736392259694397,0.462613
sim,40/0.5,new,1,right,1778046114.2519724,kinematic_fk_hip,-0.014841393053729779,0.07297937763432906,-0.544872
sim,40/0.5,new,2,left,1778046114.6220117,kinematic_fk_hip,-0.014140363796365074,0.04072011017939021,0.485412
sim,40/0.5,new,3,right,1778046114.9119933,kinematic_fk_hip,-0.006994715773742,-0.02201714385589878,-0.613779
sim,40/0.5,new,4,left,1778046115.332024,kinematic_fk_hip,-0.016580071056969736,0.04431337407463026,0.471233
sim,40/0.5,new,5,right,1778046115.6519744,kinematic_fk_hip,-0.012262735931824142,0.007469696787138693,-0.542613
sim,40/0.5,new,6,left,1778046116.0119798,kinematic_fk_hip,-0.005797063198926089,-0.06938553183724133,0.463781
sim,40/0.5,new,7,right,1778046116.351983,kinematic_fk_hip,-0.012384650366649597,0.07519831701462397,-0.54046
sim,50/0.8,old,0,left,1778046257.877392,contact_refined,0.0456984775314907,0.15721130286362506,0.603892
sim,50/0.8,old,1,left,1778046258.2073896,contact_refined,-0.03566552511379073,-0.06767090946392698,0.415444
sim,50/0.8,old,2,right,1778046258.5373971,contact_refined,-0.04253829302640311,-0.11999284420399103,-0.456822
sim,50/0.8,old,3,left,1778046258.5875614,contact_refined,0.05474372780436232,0.09113254581386643,0.59112
sim,50/0.8,old,4,right,1778046259.187404,contact_refined,-0.05038516389473319,-0.1453828630430304,-0.512655
sim,50/0.8,old,5,left,1778046259.3273885,contact_refined,0.06581525462014115,-0.2872717553847852,0.608375
sim,50/0.8,old,6,left,1778046259.3273885,contact_refined,0.06581525462014115,-0.2872717553847852,0.608375
sim,50/0.8,old,7,left,1778046259.597413,contact_refined,-0.046078809742729376,-0.12237436367106136,0.428743
sim,50/0.8,new,0,left,1778046258.137412,kinematic_fk_hip,-0.005514097217822589,0.01127101457301596,0.42465
sim,50/0.8,new,1,right,1778046258.4674115,kinematic_fk_hip,-0.007947126423367645,0.031849783024578575,-0.463428
sim,50/0.8,new,2,left,1778046258.8273966,kinematic_fk_hip,-0.012317523260647889,0.04770806555763945,0.475309
sim,50/0.8,new,3,right,1778046259.0973945,kinematic_fk_hip,-0.005759528142754489,-0.04401322936985274,-0.630215
sim,50/0.8,new,4,left,1778046259.5074148,kinematic_fk_hip,-0.007605308205795358,0.07742505669582443,0.503156
sim,50/0.8,new,5,right,1778046259.8173885,kinematic_fk_hip,-0.009998168592924572,-0.07717328440426754,-0.602536
sim,50/0.8,new,6,left,1778046260.2473967,kinematic_fk_hip,-0.017872187963543673,0.04260372640105621,0.443114
sim,50/0.8,new,7,right,1778046260.5874164,kinematic_fk_hip,-0.017667970952553125,0.021422040256428868,-0.508417
