stage,case_label,side,axis,window,events,mean_output_hp_rms_rad,mean_joint_hp_rms_rad,mean_output_range_rad,mean_joint_range_rad,mean_output_path_length_rad,mean_joint_path_length_rad,mean_output_direction_change_rate_hz,mean_joint_direction_change_rate_hz,mean_output_dominant_freq_hz,mean_joint_dominant_freq_hz,mean_output_flip_rate,mean_joint_flip_rate,mean_tracking_err_rms_rad,mean_joint_to_output_hp_rms_ratio
sim,3505,right,pitch,swing,4,0.0477016966598319,0.004688171829922687,0.567696,0.14441875,0.9635175250000001,0.2157345,8.772541591299923,4.814814494075533,3.078486817566936,3.078486817566936,0.1449096880131363,0.05613026819923372,0.2016771231947963,0.14194916176424094
sim,3505,right,pitch,touchdown,4,0.05386482398335098,0.013359075132246018,0.40819252500000003,0.11892270000000002,0.576374775,0.1948734,20.07870813732516,16.249830399459324,6.6833610514123505,6.6833610514123505,0.33610139860139865,0.17673992673992672,0.24813078293271318,0.5492886640518733
sim,3505,right,roll,swing,4,0.012955014976869596,0.002147660670506004,0.20345227499999996,0.0493656425,0.41329643,0.06840055519999999,23.87240484758916,8.82295849699705,5.422872932483296,4.6414108941778425,0.2506674082313682,0.12048076923076924,0.07362971314758648,0.1974082378810722
sim,3505,right,roll,touchdown,4,0.025853035847694633,0.005775485258717397,0.1924005,0.06695200999999999,0.352555215,0.09483571249999999,32.243180950449165,17.77954949568802,11.684718096567249,6.6833610514123505,0.35210622710622713,0.22596153846153846,0.07486779841745286,0.293307701988013
sim,4005,left,pitch,swing,4,0.018720014996656164,0.008010024512668969,0.48677424999999996,0.208246,0.72595225,0.31355275,15.626650356422235,11.719987767316677,3.788278874284179,3.030623099427343,0.18923337438423646,0.1243047830923248,0.23068008182558913,0.46159312288375426
sim,4005,left,pitch,touchdown,4,0.042482403014446245,0.01581241326552578,0.42308275,0.13746024999999998,0.57361875,0.23782674999999995,21.19271438813835,14.067419749429778,12.03996203651961,8.349096047574166,0.25747863247863245,0.15544871794871795,0.27472695379687234,0.2661071234649898
sim,4005,left,roll,swing,4,0.03294398387224842,0.005153797295478992,0.384754825,0.1472019725,0.660656155,0.22592527075000002,26.5653056059178,11.719987767316676,6.818901973711522,3.030623099427343,0.29506380716058134,0.13947833775419982,0.14645210607153364,0.16656432795335857
sim,4005,left,roll,touchdown,4,0.034344678703688965,0.011421204527969065,0.357132515,0.17859881,0.43676521499999993,0.214244613,30.41530012230227,21.623162778908657,6.682253342889127,8.349096047574166,0.33653846153846156,0.24544205794205795,0.18473024314525044,0.7489472575307153
sim,4005,right,pitch,swing,4,0.039866073560557214,0.00609658850504801,0.64162775,0.22847305,0.9590419749999999,0.3037316,11.719987767316676,7.813325178211118,3.030623099427343,3.030623099427343,0.1501194743130227,0.08064516129032258,0.25427170157705503,0.16707737692585337
sim,4005,right,pitch,touchdown,4,0.06199223753923689,0.014623662624948176,0.4143827325,0.13289095,0.6982591324999999,0.21082035,31.84402244060373,12.794391529917576,11.682781456944243,6.682253342889127,0.35714285714285715,0.14373126873126874,0.25642394845521566,0.26154477477097393
sim,4005,right,roll,swing,4,0.01606890136518511,0.003473924355043633,0.22367590999999998,0.042825632499999995,0.542107886,0.10442133999999999,23.439975534633355,14.845317838601124,5.30359042399785,5.30359042399785,0.2527180406212664,0.21476190476190474,0.09981574882767323,0.25517989448968964
sim,4005,right,roll,touchdown,4,0.03147377582563004,0.0035389456034751058,0.21352865000000001,0.034350307749999996,0.41609210399999996,0.05417112975,30.31455688190922,17.776602691173956,11.801841650136032,6.682253342889127,0.35000000000000003,0.23484848484848483,0.07427048800637294,0.15828172116719247
sim,5008,left,pitch,swing,4,0.023308938716969936,0.010176763639301766,0.46422574999999994,0.19947825,0.7678281249999999,0.32934425,12.362450610739307,9.33141971458177,3.767894565306129,3.032423833150256,0.17291114058355436,0.09791840470893587,0.19161478715286717,0.7440660207817589
sim,5008,left,pitch,touchdown,4,0.03916729527546878,0.016776773134221185,0.383765,0.16098649999999998,0.514631,0.25253250000000005,14.838728178441563,14.99444322722768,13.27699783620435,6.8022287120464,0.1875,0.16346153846153846,0.25587213437813916,0.3077899671289843
sim,5008,left,roll,swing,4,0.022913512935414274,0.006401104171296872,0.39259096625,0.14790105,0.61003584125,0.24427780250000003,22.719745953733266,17.95855251226403,5.329376934144638,3.032423833150256,0.2521010999876406,0.20899556238265915,0.14828660835165086,0.2842448668290397
sim,5008,left,roll,touchdown,4,0.03170806378089407,0.013917802724581915,0.321354245,0.233326775,0.458724322,0.2762904375,27.277612663826535,14.344103905826847,6.8022287120464,8.588371918710662,0.2941849816849817,0.15865384615384615,0.19566314441498733,1.0624355008345385
sim,5008,right,pitch,swing,4,0.04698970779100873,0.006291662930362089,0.529012,0.154329,0.9999529,0.24285149999999997,12.68098384755828,6.2308767691423945,3.032423833150256,3.032423833150256,0.17314814814814816,0.07552583678835069,0.22842330232578123,0.26497757392068266
sim,5008,right,pitch,touchdown,4,0.04521376198494195,0.015570926005907182,0.339081325,0.12859245,0.551651575,0.22101764999999995,27.158536450048913,16.13024711249111,6.8022287120464,8.469295704933044,0.3101190476190476,0.1778846153846154,0.1748992277883854,0.38855757702394605
sim,5008,right,roll,swing,4,0.01651612611704436,0.0023562692998509646,0.24168957000000002,0.0450972776,0.4852505749999999,0.07200351835,22.59981857200526,10.993597947958484,7.5789701773865605,3.032423833150256,0.2476255668691709,0.1413999044433827,0.08442141778809642,0.1816878136050136
sim,5008,right,roll,touchdown,4,0.01761145696504104,0.007470867417354367,0.15451721999999998,0.06683301,0.23987865999999997,0.09546392825,32.67268111882782,18.447653426778587,9.92797932370886,6.8022287120464,0.3523351648351648,0.2490530303030303,0.04948471273615555,0.40433705637328926
